time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),canton
2018-01-01,7.9,4.7,6.2,4.2,0.21,Aargau
2018-01-02,6.6,2.4,4.3,2.6,0.77,Aargau
2018-01-03,11.4,2.5,6.9,12.3,0.21,Aargau
2018-01-04,10.8,3.7,7.4,21.1,0,Aargau
2018-01-05,11.9,7.8,9.8,12.3,0,Aargau
2018-01-06,8.7,4,6.7,5.5,0,Aargau
2018-01-07,8.3,3,4.7,0,0,Aargau
2018-01-08,7.9,1.9,4,0,0,Aargau
2018-01-09,7.1,1.4,3.8,2.5,0,Aargau
2018-01-10,5.9,-1.5,2.5,0,0,Aargau
2018-01-11,7.1,-1,3,0.6,0,Aargau
2018-01-12,4.6,1.6,3.4,0.5,0,Aargau
2018-01-13,3.8,-0.9,1.7,0,0,Aargau
2018-01-14,1.3,-3.7,-1.2,0,0,Aargau
2018-01-15,5.7,-4.6,1.2,1.2,0,Aargau
2018-01-16,8.2,5,6.3,15.3,0.42,Aargau
2018-01-17,5.5,1.3,2.7,8.3,1.12,Aargau
2018-01-18,6.4,1.7,4.3,5.3,1.26,Aargau
2018-01-19,7,1.9,4.5,9,0.7,Aargau
2018-01-20,5.8,0.3,2.9,6.7,0.63,Aargau
2018-01-21,6.2,1.3,3.5,10.9,1.75,Aargau
2018-01-22,9.1,1.7,7.2,29.5,0.21,Aargau
2018-01-23,8.1,2.7,5.9,0.1,0,Aargau
2018-01-24,11.9,3.3,6.6,0,0,Aargau
2018-01-25,11.7,4.8,7.1,0,0,Aargau
2018-01-26,8,1.2,4.7,1.5,0,Aargau
2018-01-27,7.8,4,5.9,2.5,0,Aargau
2018-01-28,8.4,2.8,5.4,0,0,Aargau
2018-01-29,10.1,4.2,7,0,0,Aargau
2018-01-30,9,5.6,6.9,0,0,Aargau
2018-01-31,9.5,4.1,6.5,0.6,0,Aargau
2018-02-01,7.4,-1.1,3.4,14.6,0.28,Aargau
2018-02-02,5.1,-2.9,0.7,0.1,0.14,Aargau
2018-02-03,3.7,-2.3,0.3,0,0.21,Aargau
2018-02-04,4.1,-2,0.6,0,0,Aargau
2018-02-05,3.3,-2.2,-0,0,0.14,Aargau
2018-02-06,3.4,-3.4,-1.1,0,0,Aargau
2018-02-07,3,-2.6,0,0,1.33,Aargau
2018-02-08,3,-2.1,0.2,0,1.54,Aargau
2018-02-09,4,-3.1,-0.7,0,0,Aargau
2018-02-10,3,-2,0.4,0,0.21,Aargau
2018-02-11,4.1,-1,1.3,3.3,1.26,Aargau
2018-02-12,3,-4.1,0.5,0.1,2.24,Aargau
2018-02-13,3.1,-5.4,-2.1,0,0,Aargau
2018-02-14,2.5,-4.4,-2.1,0,0,Aargau
2018-02-15,7.3,-4.4,1.2,7.6,2.38,Aargau
2018-02-16,7.5,2.1,4.6,11.2,0,Aargau
2018-02-17,3.6,0.6,1.9,7.8,2.66,Aargau
2018-02-18,2.7,-1.5,0.5,0,1.75,Aargau
2018-02-19,2.6,-2.7,-0.4,0,0,Aargau
2018-02-20,2.1,-1.4,-0.1,0,0.56,Aargau
2018-02-21,1.8,-2.9,-0.6,0,0,Aargau
2018-02-22,-0.5,-3.1,-1.7,0,0.28,Aargau
2018-02-23,-0.5,-2.3,-1.5,0,0,Aargau
2018-02-24,1.8,-2.3,-0.6,0,0,Aargau
2018-02-25,-2.7,-7.6,-5,0,0,Aargau
2018-02-26,-5.3,-10.1,-7.9,0,0,Aargau
2018-02-27,-5.5,-10.2,-8.2,0,0,Aargau
2018-02-28,-2.2,-11,-7.2,0,0,Aargau
2018-03-01,-0.3,-7.4,-5,0,1.05,Aargau
2018-03-02,2.3,-7.8,-3.1,0.3,2.94,Aargau
2018-03-03,3.9,-4.6,-0.3,1.4,0.07,Aargau
2018-03-04,9.6,-1.4,4.1,2.2,0,Aargau
2018-03-05,11.5,1.7,5.5,0.4,0,Aargau
2018-03-06,9.6,-1.4,3.9,0.5,0,Aargau
2018-03-07,8.9,1.8,4.7,1.1,0,Aargau
2018-03-08,11.1,0.7,5.6,0.2,0,Aargau
2018-03-09,13.1,5.5,8.5,0,0,Aargau
2018-03-10,10.7,3.3,7.2,1.9,0,Aargau
2018-03-11,11.9,0.9,5.8,1.5,0,Aargau
2018-03-12,12.4,4.6,7.8,4.3,0,Aargau
2018-03-13,9.1,4.4,6.4,1.4,0,Aargau
2018-03-14,12.3,2.8,6.8,1.1,0,Aargau
2018-03-15,11.6,0.9,5,0.1,0,Aargau
2018-03-16,11.4,3,6.5,1,0,Aargau
2018-03-17,8.5,1.6,4.3,8.1,0.91,Aargau
2018-03-18,3.9,-1.3,1.1,0.2,0.91,Aargau
2018-03-19,4.6,-1.5,0.6,0,0.49,Aargau
2018-03-20,2.6,-3.7,-0.3,0,0.28,Aargau
2018-03-21,4.5,-2.8,0.4,0,0.14,Aargau
2018-03-22,5.6,-5,0,0,0.35,Aargau
2018-03-23,7.5,0.6,3.7,0,1.05,Aargau
2018-03-24,10.9,-1.8,4.3,0,0,Aargau
2018-03-25,13.3,0.2,6.1,0.3,0,Aargau
2018-03-26,10.2,3.1,6.3,0.8,0,Aargau
2018-03-27,10.7,3.2,6.5,3.6,0,Aargau
2018-03-28,11.7,6.1,8.8,8.7,0,Aargau
2018-03-29,8.4,1.3,5.4,5.5,0,Aargau
2018-03-30,14.4,-0.5,5.3,4,0,Aargau
2018-03-31,7.4,2,4.5,2.1,0,Aargau
2018-04-01,8.6,2.8,5.2,1.7,0.14,Aargau
2018-04-02,14.3,-2.1,6,0,0,Aargau
2018-04-03,18.7,4.1,11,0.1,0,Aargau
2018-04-04,17.5,3.6,8.8,7.2,0,Aargau
2018-04-05,12.7,5.9,8.5,2.8,0,Aargau
2018-04-06,15.6,2.3,8.6,0,0,Aargau
2018-04-07,20.4,2.1,10.7,0,0,Aargau
2018-04-08,22,4.6,12.7,0,0,Aargau
2018-04-09,19.9,7.6,13,0,0,Aargau
2018-04-10,16.6,5.4,10.5,2.4,0,Aargau
2018-04-11,17.2,1.4,9.7,0,0,Aargau
2018-04-12,17.7,6.6,11.4,0.1,0,Aargau
2018-04-13,15.7,5.3,10.5,0.4,0,Aargau
2018-04-14,18.4,4.6,11.5,0,0,Aargau
2018-04-15,18.7,6.9,12.8,0,0,Aargau
2018-04-16,17.1,9.9,12.9,4.3,0,Aargau
2018-04-17,20.4,7.8,14,0,0,Aargau
2018-04-18,22.1,8,14.7,0,0,Aargau
2018-04-19,23.5,8.3,15.5,0,0,Aargau
2018-04-20,24.9,9.7,17,0,0,Aargau
2018-04-21,25.6,8.6,17.5,0,0,Aargau
2018-04-22,25.2,9.2,17.6,0.1,0,Aargau
2018-04-23,21.2,12.7,15.8,3.6,0,Aargau
2018-04-24,21.5,9.8,15.2,0.3,0,Aargau
2018-04-25,22.3,11.2,16,0.5,0,Aargau
2018-04-26,13.6,10.1,12,0.9,0,Aargau
2018-04-27,21.4,7,13.7,0,0,Aargau
2018-04-28,20.8,11.5,15,0.9,0,Aargau
2018-04-29,24.8,10,16.4,0,0,Aargau
2018-04-30,15.9,7.8,11.9,6.2,0,Aargau
2018-05-01,10.5,6.4,8.7,3.5,0,Aargau
2018-05-02,15,6.4,11.3,1.1,0,Aargau
2018-05-03,14.7,9.7,12,6.1,0,Aargau
2018-05-04,18.7,12.9,15.7,0.5,0,Aargau
2018-05-05,21.7,14.4,17.8,0.1,0,Aargau
2018-05-06,24.3,12.7,18.3,0.1,0,Aargau
2018-05-07,23.7,10.1,16.9,0,0,Aargau
2018-05-08,24.4,10,17.9,0.1,0,Aargau
2018-05-09,22.1,11.4,16.9,0.3,0,Aargau
2018-05-10,15.8,11.3,13.1,11.8,0,Aargau
2018-05-11,20,7.5,14.1,0,0,Aargau
2018-05-12,24,9.4,17.4,0.1,0,Aargau
2018-05-13,15.5,10,11.8,4.8,0,Aargau
2018-05-14,14.6,9.7,11.4,1.8,0,Aargau
2018-05-15,15.7,9.3,12.4,18.6,0,Aargau
2018-05-16,15.2,8.6,11.6,11.2,0,Aargau
2018-05-17,16.6,7.9,12,5.6,0,Aargau
