latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.41652,9.295082,770.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,8.6,0.4,4.5,4.40,0.07
2018-01-02,4.3,1.1,2.0,0.90,1.33
2018-01-03,12.3,1.4,5.4,15.80,2.03
2018-01-04,9.3,1.8,5.6,26.50,1.54
2018-01-05,11.0,6.8,8.1,6.40,0.00
2018-01-06,8.8,3.3,5.6,0.00,0.00
2018-01-07,9.4,1.6,4.9,0.00,0.00
2018-01-08,9.9,1.6,5.5,0.00,0.00
2018-01-09,11.9,1.2,5.7,0.20,0.00
2018-01-10,7.4,1.1,3.8,0.00,0.00
2018-01-11,5.1,1.5,3.2,0.70,0.14
2018-01-12,2.5,-1.1,1.1,0.60,0.21
2018-01-13,2.4,-3.7,-1.3,0.00,0.00
2018-01-14,1.4,-3.4,-1.5,0.00,0.00
2018-01-15,5.2,-3.6,0.2,0.00,0.28
2018-01-16,6.3,0.8,3.5,12.60,3.01
2018-01-17,2.7,-2.2,-0.4,3.60,9.66
2018-01-18,6.8,-1.4,3.2,3.70,2.17
2018-01-19,7.0,-0.8,1.8,7.70,6.93
2018-01-20,4.0,-1.0,0.9,0.50,6.16
2018-01-21,3.5,-1.0,1.0,10.00,9.66
2018-01-22,7.0,0.1,4.8,32.00,2.45
2018-01-23,5.6,1.1,3.7,4.10,0.00
2018-01-24,10.4,2.1,5.5,0.00,0.00
2018-01-25,9.3,3.1,6.1,0.00,0.00
2018-01-26,7.3,1.7,4.7,0.00,0.00
2018-01-27,6.0,2.5,3.9,0.40,0.00
2018-01-28,8.7,2.0,5.4,0.00,0.00
2018-01-29,10.0,3.8,6.0,0.00,0.00
2018-01-30,6.9,3.0,4.9,0.10,0.00
2018-01-31,9.4,2.5,5.0,1.10,0.63
2018-02-01,4.6,-1.9,1.3,2.30,5.60
2018-02-02,1.6,-4.0,-1.4,0.00,0.07
2018-02-03,1.2,-3.6,-1.6,0.00,0.91
2018-02-04,1.0,-6.9,-2.1,0.00,1.54
2018-02-05,1.7,-3.9,-1.6,0.00,0.00
2018-02-06,3.5,-5.7,-1.2,0.00,0.00
2018-02-07,0.6,-2.7,-1.0,0.00,2.03
2018-02-08,-0.0,-5.6,-2.4,0.00,2.24
2018-02-09,2.0,-7.9,-1.9,0.00,0.00
2018-02-10,1.6,-4.2,-1.9,0.00,0.00
2018-02-11,3.7,-3.6,-0.0,0.10,3.78
2018-02-12,0.4,-6.1,-2.2,0.00,5.04
2018-02-13,-0.8,-13.0,-7.1,0.00,0.00
2018-02-14,-0.1,-11.2,-4.7,0.00,0.14
2018-02-15,6.0,-8.2,-0.7,8.30,1.40
2018-02-16,6.7,0.7,3.2,17.70,1.47
2018-02-17,3.4,-0.8,1.3,2.80,5.39
2018-02-18,-0.3,-6.6,-2.2,0.10,2.31
2018-02-19,0.4,-7.6,-3.0,0.00,0.14
2018-02-20,-0.8,-4.0,-2.7,0.00,1.05
2018-02-21,-0.9,-5.5,-3.4,0.00,0.56
2018-02-22,-1.7,-5.3,-3.8,0.00,0.35
2018-02-23,-1.6,-6.0,-4.1,0.00,0.00
2018-02-24,0.5,-6.4,-3.3,0.00,0.00
2018-02-25,-4.8,-9.6,-7.2,0.00,0.00
2018-02-26,-8.4,-12.4,-10.7,0.00,0.07
2018-02-27,-8.2,-12.5,-10.7,0.00,0.42
2018-02-28,-3.9,-13.7,-9.0,0.00,0.00
2018-03-01,-1.6,-8.2,-5.0,0.00,0.56
2018-03-02,3.4,-6.3,-2.1,0.00,1.96
2018-03-03,6.4,-4.3,0.2,0.50,1.33
2018-03-04,9.7,0.1,4.6,0.50,0.07
2018-03-05,10.0,1.9,5.0,0.10,0.00
2018-03-06,7.0,0.8,3.5,0.80,0.00
2018-03-07,5.3,1.5,3.1,1.50,0.07
2018-03-08,8.7,0.3,4.1,0.00,0.56
2018-03-09,11.5,3.6,7.2,0.40,0.00
2018-03-10,10.5,5.1,7.5,0.50,0.00
2018-03-11,14.2,6.6,9.5,2.70,0.00
2018-03-12,10.7,4.3,6.4,6.80,0.28
2018-03-13,7.0,2.0,4.4,2.70,0.00
2018-03-14,8.1,1.7,4.4,1.80,0.00
2018-03-15,11.9,0.9,6.0,0.30,0.00
2018-03-16,8.9,2.8,5.4,4.00,1.12
2018-03-17,6.1,-1.3,2.7,4.80,3.85
2018-03-18,2.0,-3.5,-1.7,0.00,2.24
2018-03-19,-0.3,-4.3,-2.7,0.00,0.98
2018-03-20,-0.8,-5.7,-3.5,0.00,1.40
2018-03-21,-0.9,-8.3,-3.7,0.00,2.66
2018-03-22,3.5,-12.4,-3.6,0.00,0.49
2018-03-23,4.9,-1.3,0.7,0.40,1.82
2018-03-24,7.7,-2.8,2.0,0.00,0.00
2018-03-25,10.4,0.8,5.6,0.00,0.00
2018-03-26,7.1,1.5,4.4,1.30,0.07
2018-03-27,7.7,0.5,3.7,3.50,1.61
2018-03-28,9.7,2.6,6.3,13.60,0.07
2018-03-29,7.0,1.0,4.1,8.70,0.00
2018-03-30,14.9,-0.3,6.4,2.70,0.14
2018-03-31,4.1,1.1,2.3,7.40,3.64
2018-04-01,6.0,1.0,2.7,2.00,1.75
2018-04-02,13.8,-3.1,6.1,0.00,0.00
2018-04-03,16.4,7.1,11.0,0.00,0.00
2018-04-04,17.2,4.7,9.2,3.90,0.00
2018-04-05,10.3,4.9,6.9,4.20,0.00
2018-04-06,13.2,-0.5,7.1,0.10,0.00
2018-04-07,17.9,2.8,10.8,0.00,0.00
2018-04-08,20.1,7.2,13.2,0.00,0.00
2018-04-09,16.4,9.8,12.5,0.60,0.00
2018-04-10,17.9,5.3,10.4,0.80,0.00
2018-04-11,15.6,3.5,9.6,0.00,0.00
2018-04-12,15.6,6.9,11.5,0.30,0.00
2018-04-13,13.2,3.2,8.9,3.80,0.00
2018-04-14,15.9,4.0,10.3,0.00,0.00
2018-04-15,16.0,7.2,11.4,0.00,0.00
2018-04-16,12.5,8.2,10.0,9.90,0.00
2018-04-17,16.9,6.8,12.2,0.00,0.00
2018-04-18,19.8,8.2,13.6,0.00,0.00
2018-04-19,20.7,8.9,15.0,0.00,0.00
2018-04-20,22.3,10.3,16.1,0.00,0.00
2018-04-21,22.6,12.1,18.0,0.00,0.00
2018-04-22,22.5,12.3,18.1,0.00,0.00
2018-04-23,20.2,11.5,15.9,8.20,0.00
2018-04-24,18.8,9.2,13.7,2.00,0.00
2018-04-25,20.2,10.9,15.4,1.50,0.00
2018-04-26,11.8,7.9,9.3,4.30,0.00
2018-04-27,18.4,6.0,12.2,0.10,0.00
2018-04-28,18.8,9.4,14.0,0.00,0.00
2018-04-29,22.7,9.6,15.7,0.00,0.00
2018-04-30,15.7,6.2,10.9,4.30,0.00
2018-05-01,9.4,5.2,7.5,6.70,0.00
2018-05-02,13.4,6.6,9.6,1.90,0.00
2018-05-03,13.8,8.0,10.0,5.30,0.00
2018-05-04,15.7,9.5,12.6,1.50,0.00
2018-05-05,19.8,9.2,14.6,0.20,0.00
2018-05-06,20.9,10.6,15.6,0.10,0.00
2018-05-07,19.8,10.4,15.2,0.20,0.00
2018-05-08,20.8,9.6,15.4,0.00,0.00
2018-05-09,19.0,9.4,14.0,4.10,0.00
2018-05-10,15.5,8.7,11.6,9.00,0.00
2018-05-11,17.4,6.8,12.3,0.00,0.00
2018-05-12,20.5,9.6,15.5,1.40,0.00
2018-05-13,16.4,9.6,13.1,6.90,0.00
2018-05-14,11.7,7.6,9.6,6.80,0.00
2018-05-15,13.6,7.8,9.7,13.90,0.00
2018-05-16,11.8,7.3,9.3,6.40,0.00
2018-05-17,12.2,7.7,9.6,10.90,0.00
2018-05-18,16.2,6.8,11.9,1.10,0.00
2018-05-19,16.2,8.3,11.7,4.50,0.00
2018-05-20,15.5,8.3,11.8,3.10,0.00
2018-05-21,19.1,7.3,13.5,0.50,0.00
2018-05-22,19.2,10.4,15.2,0.30,0.00
2018-05-23,18.0,9.7,14.2,9.20,0.00
2018-05-24,19.8,11.1,15.2,0.40,0.00
2018-05-25,21.1,11.5,17.0,0.10,0.00
2018-05-26,23.8,11.8,18.3,0.30,0.00
2018-05-27,23.7,13.8,18.9,0.80,0.00
2018-05-28,23.9,14.1,18.6,0.30,0.00
2018-05-29,19.7,12.7,16.6,0.80,0.00
2018-05-30,22.7,13.8,18.5,0.50,0.00
2018-05-31,21.4,13.2,17.2,15.60,0.00
2018-06-01,20.3,12.4,16.1,0.80,0.00
2018-06-02,20.6,12.6,16.6,0.80,0.00
2018-06-03,22.3,13.4,18.2,0.10,0.00
2018-06-04,22.6,14.5,18.2,0.30,0.00
2018-06-05,22.0,13.7,17.5,1.10,0.00
2018-06-06,21.5,13.4,17.8,1.50,0.00
2018-06-07,20.1,14.4,17.3,3.30,0.00
2018-06-08,20.8,14.0,17.2,9.40,0.00
2018-06-09,22.3,13.4,17.9,2.00,0.00
2018-06-10,24.4,13.8,19.3,0.90,0.00
2018-06-11,23.7,14.3,18.1,21.00,0.00
2018-06-12,18.9,13.4,15.6,8.50,0.00
2018-06-13,13.4,10.6,11.8,43.80,0.00
2018-06-14,16.6,9.4,12.8,2.00,0.00
2018-06-15,18.0,10.0,14.5,0.00,0.00
2018-06-16,20.3,10.3,15.7,0.00,0.00
2018-06-17,19.1,13.9,16.1,2.70,0.00
2018-06-18,19.2,12.4,15.7,4.00,0.00
2018-06-19,21.3,13.5,17.4,0.00,0.00
2018-06-20,24.7,14.4,19.8,0.00,0.00
2018-06-21,23.2,14.3,19.5,8.10,0.00
2018-06-22,16.4,8.8,12.3,0.80,0.00
2018-06-23,16.5,8.8,12.7,0.00,0.00
2018-06-24,17.7,9.2,13.5,0.00,0.00
2018-06-25,16.7,11.2,13.9,0.90,0.00
2018-06-26,19.7,10.4,15.4,0.00,0.00
2018-06-27,20.4,12.3,15.9,0.00,0.00
2018-06-28,17.9,9.6,13.7,3.10,0.00
2018-06-29,20.3,12.0,16.2,2.00,0.00
2018-06-30,24.3,14.3,19.7,0.00,0.00
2018-07-01,23.7,15.1,19.2,0.00,0.00
2018-07-02,24.5,13.8,19.2,0.30,0.00
2018-07-03,21.9,15.8,18.6,3.20,0.00
2018-07-04,23.6,14.5,19.0,2.00,0.00
2018-07-05,18.9,13.9,16.6,7.90,0.00
2018-07-06,18.1,13.4,15.2,6.00,0.00
2018-07-07,20.5,12.8,16.9,1.50,0.00
2018-07-08,22.0,14.2,18.4,1.10,0.00
2018-07-09,23.4,13.2,19.1,0.00,0.00
2018-07-10,20.0,13.8,17.1,0.60,0.00
2018-07-11,17.1,11.2,14.3,1.30,0.00
2018-07-12,20.6,10.6,16.2,0.00,0.00
2018-07-13,22.9,12.9,18.5,0.40,0.00
2018-07-14,24.5,14.8,19.9,0.10,0.00
2018-07-15,23.4,15.5,19.2,2.00,0.00
2018-07-16,22.8,14.1,18.4,1.40,0.00
2018-07-17,22.8,14.5,18.6,0.50,0.00
2018-07-18,24.4,15.4,20.0,0.20,0.00
2018-07-19,25.4,16.0,20.6,0.00,0.00
2018-07-20,25.5,15.8,20.5,1.20,0.00
2018-07-21,20.1,14.9,16.7,4.30,0.00
2018-07-22,19.4,14.1,16.7,1.50,0.00
2018-07-23,21.0,13.7,17.1,8.10,0.00
2018-07-24,25.2,14.3,20.3,0.00,0.00
2018-07-25,25.9,16.9,21.7,0.00,0.00
2018-07-26,26.3,18.0,22.2,0.00,0.00
2018-07-27,26.3,15.8,21.6,0.00,0.00
2018-07-28,24.1,15.9,20.2,1.80,0.00
2018-07-29,26.4,14.8,20.8,0.00,0.00
2018-07-30,28.7,17.8,23.4,0.20,0.00
2018-07-31,29.8,19.8,25.2,0.00,0.00
2018-08-01,30.2,19.4,24.5,0.00,0.00
