latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.34622,9.574469,776.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,5.8,-1.6,1.6,2.80,0.00
2018-01-02,3.7,-1.8,0.6,1.10,1.40
2018-01-03,7.5,-0.1,2.7,10.40,2.59
2018-01-04,5.2,1.0,3.0,26.70,0.00
2018-01-05,9.0,2.8,5.2,2.60,0.00
2018-01-06,8.4,0.5,4.2,0.00,0.00
2018-01-07,9.6,-0.7,3.5,0.00,0.00
2018-01-08,8.7,0.1,3.6,0.00,0.00
2018-01-09,9.5,-0.4,3.7,0.20,0.00
2018-01-10,7.5,-3.9,0.8,0.00,0.00
2018-01-11,5.3,-3.5,0.7,0.90,0.00
2018-01-12,2.3,0.2,1.1,0.40,0.00
2018-01-13,2.1,-4.7,-1.4,0.00,0.00
2018-01-14,1.9,-6.4,-3.7,0.00,0.00
2018-01-15,5.8,-6.0,-1.3,0.00,0.07
2018-01-16,6.3,0.2,2.7,12.60,0.56
2018-01-17,1.9,-3.0,-0.1,10.90,5.60
2018-01-18,5.4,-2.6,1.2,1.90,1.33
2018-01-19,3.5,-1.0,1.4,15.80,5.32
2018-01-20,4.5,-5.2,-0.2,0.40,4.20
2018-01-21,1.7,-1.3,0.4,5.90,9.31
2018-01-22,4.7,-1.0,2.2,22.50,6.58
2018-01-23,5.0,-3.2,3.0,6.10,0.00
2018-01-24,10.4,-4.5,2.4,0.00,0.00
2018-01-25,9.2,0.2,4.3,0.00,0.00
2018-01-26,9.1,-0.2,3.4,0.00,0.00
2018-01-27,7.1,-1.5,2.4,0.00,0.00
2018-01-28,9.5,-3.6,2.7,0.00,0.00
2018-01-29,9.8,-2.5,3.1,0.00,0.00
2018-01-30,6.8,0.6,3.6,0.00,0.00
2018-01-31,9.5,-1.6,3.9,0.00,0.00
2018-02-01,5.4,-2.8,1.2,8.10,2.38
2018-02-02,2.7,-5.3,-1.4,0.00,0.14
2018-02-03,1.6,-6.6,-2.9,0.30,3.85
2018-02-04,0.6,-5.3,-2.3,0.00,5.18
2018-02-05,2.7,-6.8,-2.3,0.00,0.00
2018-02-06,4.5,-6.1,-1.7,0.00,0.00
2018-02-07,0.1,-3.1,-1.6,0.00,2.03
2018-02-08,0.4,-3.9,-2.0,0.00,1.82
2018-02-09,3.1,-5.1,-2.3,0.00,0.00
2018-02-10,2.1,-4.6,-1.8,0.00,0.77
2018-02-11,4.1,-4.7,-0.7,2.30,1.19
2018-02-12,0.2,-9.8,-2.2,0.80,4.90
2018-02-13,-1.1,-16.6,-8.0,0.00,0.14
2018-02-14,0.7,-17.7,-7.5,0.00,0.00
2018-02-15,1.8,-14.5,-3.4,4.80,2.17
2018-02-16,3.2,0.0,1.7,16.30,0.00
2018-02-17,3.3,-2.1,0.5,3.60,2.87
2018-02-18,0.2,-4.5,-1.7,0.00,2.45
2018-02-19,0.2,-7.4,-3.6,0.10,0.21
2018-02-20,-0.1,-3.7,-2.2,0.00,1.12
2018-02-21,0.2,-4.6,-2.8,0.00,0.07
2018-02-22,-1.0,-4.4,-3.3,0.00,0.14
2018-02-23,-2.1,-5.4,-4.2,0.00,0.00
2018-02-24,0.3,-7.8,-4.0,0.00,0.00
2018-02-25,-4.0,-8.9,-6.7,0.00,0.00
2018-02-26,-7.3,-11.6,-9.9,0.00,0.00
2018-02-27,-7.3,-11.5,-9.9,0.00,0.00
2018-02-28,-2.9,-11.5,-7.5,0.00,0.00
2018-03-01,1.2,-7.8,-4.0,0.00,0.42
2018-03-02,2.7,-6.8,-3.0,0.00,1.54
2018-03-03,8.3,-6.4,-0.7,1.30,0.77
2018-03-04,11.3,-3.2,3.5,0.00,0.00
2018-03-05,10.5,-0.4,4.1,0.00,0.00
2018-03-06,7.2,0.2,3.2,1.20,0.00
2018-03-07,6.2,-1.9,1.6,3.20,0.00
2018-03-08,9.8,-4.1,2.4,0.10,0.00
2018-03-09,11.1,-0.3,5.2,0.00,0.00
2018-03-10,11.1,4.7,7.7,0.70,0.00
2018-03-11,14.8,3.9,8.2,1.10,0.00
2018-03-12,11.3,-0.3,5.7,6.10,0.00
