latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.557117,7.549342,283.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,10.6,6.1,7.7,3.30,0.00
2018-01-02,7.1,4.4,5.4,2.40,0.35
2018-01-03,13.4,4.8,8.0,9.00,0.00
2018-01-04,12.2,4.8,8.9,22.10,0.00
2018-01-05,12.1,6.6,9.9,5.30,0.00
2018-01-06,11.5,5.3,8.1,5.60,0.00
2018-01-07,7.0,3.0,5.1,0.10,0.00
2018-01-08,5.7,1.6,3.7,0.00,0.00
2018-01-09,7.9,2.2,4.5,3.50,0.00
2018-01-10,8.1,1.0,4.0,0.40,0.00
2018-01-11,7.9,2.0,4.6,1.60,0.00
2018-01-12,5.3,1.8,3.5,0.00,0.00
2018-01-13,5.4,-0.5,2.5,0.00,0.00
2018-01-14,3.4,-1.3,0.5,0.00,0.00
2018-01-15,7.6,-1.8,2.8,1.50,0.00
2018-01-16,9.1,6.1,7.5,12.10,0.00
2018-01-17,5.9,2.1,3.3,9.90,0.07
2018-01-18,9.7,2.9,6.3,6.40,0.14
2018-01-19,9.7,2.7,5.3,10.50,0.28
2018-01-20,8.3,1.2,4.3,9.40,0.63
2018-01-21,7.9,2.2,4.6,10.00,0.00
2018-01-22,10.4,3.3,8.6,27.90,0.00
2018-01-23,9.2,2.6,6.6,0.80,0.00
2018-01-24,13.6,3.4,7.5,0.00,0.00
2018-01-25,13.2,2.6,6.9,0.00,0.00
2018-01-26,8.0,4.7,6.4,10.80,0.00
2018-01-27,8.2,4.9,6.1,3.60,0.00
2018-01-28,9.7,2.1,6.1,0.00,0.00
2018-01-29,10.4,6.4,8.1,0.00,0.00
2018-01-30,9.3,6.1,7.7,0.20,0.00
2018-01-31,10.8,3.4,7.0,2.90,0.00
2018-02-01,7.5,0.4,4.2,12.20,0.00
2018-02-02,5.1,-3.3,1.3,0.20,0.07
