latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.924427,7.439222,554.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,9.2,4.6,6.0,6.90,0.00
2018-01-02,5.8,2.2,3.6,2.20,0.98
2018-01-03,12.7,3.7,7.5,10.00,0.07
2018-01-04,12.1,3.1,7.8,24.80,0.00
2018-01-05,12.1,6.2,9.5,5.30,0.00
2018-01-06,9.3,1.4,6.5,6.70,0.00
2018-01-07,6.0,0.5,3.2,0.00,0.00
2018-01-08,5.1,1.2,2.8,0.10,0.00
2018-01-09,6.3,0.1,3.0,3.40,0.00
2018-01-10,4.8,-1.0,1.6,0.50,0.00
2018-01-11,5.8,-0.3,2.3,0.60,0.00
2018-01-12,4.4,-0.4,2.2,0.00,0.00
2018-01-13,4.7,-0.9,1.4,0.00,0.00
2018-01-14,2.0,-2.4,-0.7,0.00,0.00
2018-01-15,4.9,-4.7,0.3,1.70,0.00
2018-01-16,8.2,2.5,5.9,9.50,0.00
2018-01-17,5.3,-0.4,2.0,5.10,2.59
2018-01-18,7.4,0.1,4.7,3.70,3.22
2018-01-19,7.5,1.5,4.5,7.10,0.14
2018-01-20,6.2,0.4,2.9,2.60,1.33
2018-01-21,6.0,1.8,3.9,16.90,1.75
2018-01-22,8.9,2.5,7.4,23.50,0.00
2018-01-23,7.6,0.6,5.3,0.10,0.00
2018-01-24,10.0,-0.7,4.1,0.00,0.00
2018-01-25,9.6,-1.0,3.1,0.00,0.00
2018-01-26,6.5,0.6,3.6,6.20,0.00
2018-01-27,6.4,2.3,3.8,2.50,0.77
2018-01-28,9.1,0.1,3.9,0.00,0.00
2018-01-29,8.2,3.1,5.5,0.00,0.00
2018-01-30,8.0,3.3,5.1,0.00,0.00
2018-01-31,8.3,0.7,4.8,0.00,0.00
2018-02-01,7.6,-0.9,2.7,10.80,1.61
2018-02-02,3.8,-3.9,-0.5,0.00,0.00
2018-02-03,2.8,-4.5,-1.1,0.00,0.49
2018-02-04,3.1,-4.4,-0.9,0.00,0.00
2018-02-05,2.6,-3.0,-1.0,0.00,1.47
2018-02-06,4.7,-3.8,-0.2,0.00,0.00
2018-02-07,2.1,-1.6,0.1,0.20,2.03
2018-02-08,2.4,-2.2,-0.2,0.00,0.49
2018-02-09,3.9,-3.7,-0.8,0.00,0.00
2018-02-10,2.5,-2.3,-0.2,0.00,1.26
2018-02-11,3.8,-2.2,1.0,2.30,0.28
2018-02-12,1.6,-5.3,-0.2,0.10,2.03
2018-02-13,2.3,-7.0,-2.9,0.00,0.00
2018-02-14,2.9,-4.0,-1.3,0.00,0.21
2018-02-15,5.8,-4.3,1.3,4.60,1.40
2018-02-16,6.3,2.4,4.5,7.50,0.00
2018-02-17,5.7,1.7,3.4,9.20,0.00
2018-02-18,2.4,-1.3,0.5,0.90,0.84
2018-02-19,3.2,-2.7,-0.2,0.00,0.00
2018-02-20,3.2,-1.9,0.2,0.00,0.14
2018-02-21,0.3,-3.2,-1.7,0.00,0.00
2018-02-22,-1.2,-3.5,-2.3,0.00,0.28
2018-02-23,-0.7,-3.0,-2.1,0.00,0.14
2018-02-24,0.6,-3.6,-1.8,0.00,0.00
2018-02-25,-3.0,-7.3,-4.8,0.00,0.00
2018-02-26,-6.0,-9.8,-8.3,0.00,0.00
2018-02-27,-5.9,-10.6,-8.6,0.00,0.21
2018-02-28,-0.2,-10.3,-6.0,0.00,0.00
2018-03-01,-2.0,-6.2,-4.6,0.60,6.23
2018-03-02,3.2,-9.0,-3.8,0.20,1.82
2018-03-03,2.6,-8.0,-1.5,0.80,1.82
2018-03-04,6.7,-2.5,2.4,2.50,0.56
2018-03-05,10.6,0.7,4.7,1.50,0.00
2018-03-06,6.5,-0.6,2.6,2.10,0.00
2018-03-07,7.8,-0.9,3.5,1.70,0.00
2018-03-08,9.9,-0.8,4.3,1.10,0.00
2018-03-09,11.5,0.4,5.2,0.00,0.00
2018-03-10,9.4,2.1,5.7,2.90,0.00
2018-03-11,9.2,1.4,5.3,4.40,0.00
2018-03-12,11.2,2.5,6.6,5.30,0.00
2018-03-13,7.8,4.2,5.8,2.10,0.00
2018-03-14,11.1,0.0,5.7,0.30,0.00
2018-03-15,9.2,-0.8,3.2,2.30,0.00
2018-03-16,10.8,-0.3,4.7,1.20,0.00
2018-03-17,6.2,1.2,3.4,8.40,2.03
2018-03-18,3.8,-1.3,1.3,0.30,1.12
2018-03-19,3.9,-2.0,0.2,0.00,0.56
2018-03-20,1.4,-3.6,-1.2,0.00,0.35
2018-03-21,2.9,-4.0,-0.8,0.00,0.35
2018-03-22,4.8,-6.2,-0.7,0.00,0.28
2018-03-23,7.1,0.0,2.8,0.00,0.77
2018-03-24,11.0,-3.1,3.3,0.00,0.00
2018-03-25,12.2,1.2,6.1,0.30,0.00
2018-03-26,9.1,3.6,6.1,1.00,0.00
2018-03-27,9.7,2.3,5.4,4.40,0.00
2018-03-28,11.1,6.0,8.3,9.00,0.00
2018-03-29,7.3,1.0,4.7,10.30,0.00
2018-03-30,10.8,-0.8,3.8,6.30,0.49
2018-03-31,7.0,1.4,3.6,2.00,0.00
2018-04-01,7.6,1.1,4.4,3.10,0.00
2018-04-02,12.3,-2.4,4.8,0.10,0.00
2018-04-03,15.9,1.2,9.0,0.00,0.00
2018-04-04,16.0,4.2,7.8,8.60,0.00
2018-04-05,11.1,4.6,7.7,2.10,0.00
2018-04-06,15.6,-0.5,7.7,0.00,0.00
2018-04-07,18.2,1.8,10.5,0.00,0.00
2018-04-08,20.5,6.0,13.4,0.10,0.00
2018-04-09,17.9,7.2,12.2,0.20,0.00
2018-04-10,13.4,3.6,8.5,3.40,0.00
2018-04-11,16.0,1.3,8.4,0.00,0.00
2018-04-12,16.4,4.9,10.2,0.40,0.00
2018-04-13,14.3,5.4,9.8,1.40,0.00
2018-04-14,17.1,4.4,10.4,0.00,0.00
2018-04-15,17.7,4.8,12.1,2.40,0.00
2018-04-16,15.5,9.6,12.4,4.00,0.00
2018-04-17,18.8,5.7,12.5,0.00,0.00
2018-04-18,20.4,5.9,12.9,0.00,0.00
2018-04-19,22.9,7.4,14.9,0.00,0.00
2018-04-20,23.5,8.4,15.8,0.00,0.00
2018-04-21,24.1,9.3,16.5,0.00,0.00
2018-04-22,23.4,10.0,17.2,0.00,0.00
2018-04-23,20.9,11.1,14.8,13.30,0.00
2018-04-24,19.7,8.6,14.1,0.30,0.00
2018-04-25,21.3,9.2,15.4,0.10,0.00
2018-04-26,13.5,9.3,11.1,3.10,0.00
2018-04-27,20.6,4.8,12.5,0.00,0.00
2018-04-28,19.7,9.9,14.0,0.80,0.00
2018-04-29,22.3,8.7,15.1,1.50,0.00
2018-04-30,15.1,6.8,11.0,7.80,0.00
2018-05-01,9.7,6.8,7.9,5.50,0.00
2018-05-02,12.2,5.5,9.2,0.70,0.00
2018-05-03,11.8,8.4,10.0,6.00,0.00
2018-05-04,17.0,10.3,13.4,0.20,0.00
2018-05-05,19.7,13.1,15.9,0.00,0.00
2018-05-06,21.8,9.9,16.1,0.00,0.00
2018-05-07,22.0,9.9,15.4,0.00,0.00
2018-05-08,22.3,9.7,16.1,0.50,0.00
2018-05-09,19.8,11.1,15.0,8.40,0.00
2018-05-10,13.7,10.4,12.0,10.60,0.00
2018-05-11,18.9,6.9,13.2,0.00,0.00
2018-05-12,21.9,10.4,16.4,0.30,0.00
2018-05-13,13.9,8.2,10.7,8.60,0.00
2018-05-14,13.0,7.7,9.9,3.60,0.00
2018-05-15,14.2,8.8,11.3,14.90,0.00
2018-05-16,14.1,6.9,10.4,4.70,0.00
2018-05-17,16.6,8.0,12.0,6.20,0.00
2018-05-18,18.2,6.0,12.6,0.20,0.00
2018-05-19,17.8,7.5,12.9,0.60,0.00
2018-05-20,16.9,7.0,12.5,0.00,0.00
2018-05-21,19.9,8.3,14.4,0.50,0.00
2018-05-22,19.5,10.3,15.1,4.50,0.00
2018-05-23,18.2,11.7,14.7,8.00,0.00
2018-05-24,20.4,11.2,16.1,5.90,0.00
2018-05-25,23.5,10.7,17.4,0.00,0.00
2018-05-26,24.4,11.6,18.5,0.00,0.00
2018-05-27,24.4,13.0,18.6,0.10,0.00
2018-05-28,23.5,13.1,18.6,0.70,0.00
2018-05-29,20.6,14.2,17.3,11.10,0.00
2018-05-30,22.8,12.8,17.6,1.10,0.00
2018-05-31,20.6,13.8,16.9,7.60,0.00
2018-06-01,20.7,11.5,16.4,4.10,0.00
2018-06-02,22.0,13.1,17.6,0.20,0.00
2018-06-03,22.9,11.9,17.8,1.10,0.00
2018-06-04,22.0,15.4,18.5,13.00,0.00
2018-06-05,22.6,13.6,17.9,5.70,0.00
2018-06-06,21.5,15.1,18.4,2.30,0.00
2018-06-07,20.8,14.7,17.6,4.40,0.00
2018-06-08,21.6,15.1,17.6,9.30,0.00
2018-06-09,23.6,14.3,18.8,0.80,0.00
2018-06-10,24.2,15.0,19.8,0.30,0.00
2018-06-11,22.2,15.8,18.4,8.30,0.00
2018-06-12,18.9,14.5,16.5,8.70,0.00
2018-06-13,14.6,11.9,13.2,20.40,0.00
2018-06-14,18.4,10.4,14.0,0.20,0.00
2018-06-15,20.7,10.5,15.7,0.00,0.00
2018-06-16,22.6,9.7,16.9,0.00,0.00
2018-06-17,20.7,15.0,16.9,2.80,0.00
2018-06-18,21.6,14.2,17.5,0.70,0.00
2018-06-19,23.7,12.6,18.7,0.00,0.00
2018-06-20,26.7,12.5,20.0,0.00,0.00
2018-06-21,25.6,16.3,21.1,2.90,0.00
2018-06-22,18.3,10.3,14.3,0.70,0.00
2018-06-23,20.4,8.7,14.5,0.00,0.00
2018-06-24,19.9,10.1,14.7,0.60,0.00
2018-06-25,20.5,12.3,16.4,0.00,0.00
2018-06-26,23.8,9.9,17.3,0.00,0.00
2018-06-27,24.2,12.6,18.6,0.00,0.00
2018-06-28,22.3,12.2,16.9,0.00,0.00
2018-06-29,23.1,13.5,18.5,0.00,0.00
2018-06-30,27.9,14.4,21.3,0.00,0.00
2018-07-01,29.0,15.8,22.6,0.00,0.00
2018-07-02,28.1,16.9,22.1,0.60,0.00
2018-07-03,24.0,17.0,20.3,4.20,0.00
2018-07-04,26.1,15.1,21.1,3.60,0.00
2018-07-05,20.1,15.7,17.7,10.10,0.00
