latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.22144,6.172249,405.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,7.9,3.1,5.6,14.50,0.00
2018-01-02,6.5,3.5,4.6,2.20,0.00
2018-01-03,11.2,5.3,8.3,14.50,0.00
2018-01-04,11.5,4.0,8.2,37.60,0.00
2018-01-05,11.0,6.9,9.4,7.70,0.00
2018-01-06,9.7,5.0,7.9,3.20,0.00
2018-01-07,8.4,3.3,5.1,0.20,0.00
2018-01-08,7.4,2.7,4.9,3.70,0.00
2018-01-09,7.6,1.9,5.0,6.20,0.00
2018-01-10,5.3,1.8,3.5,0.70,0.00
2018-01-11,7.0,1.8,4.1,1.40,0.00
2018-01-12,6.8,1.7,3.8,0.00,0.00
2018-01-13,5.5,0.2,3.0,0.00,0.00
2018-01-14,4.4,-0.6,2.3,0.00,0.00
2018-01-15,6.3,-0.0,3.3,4.60,0.00
2018-01-16,9.0,4.9,7.1,20.70,0.00
2018-01-17,7.5,0.8,4.0,7.40,0.21
2018-01-18,6.5,1.7,4.4,15.70,0.63
2018-01-19,7.1,2.0,5.7,7.20,0.07
2018-01-20,5.6,1.1,3.2,13.90,1.82
2018-01-21,7.7,4.2,5.9,18.20,0.00
2018-01-22,10.4,5.2,8.1,24.30,0.00
2018-01-23,9.9,5.6,7.5,0.40,0.00
2018-01-24,12.0,2.6,6.9,0.00,0.00
2018-01-25,11.2,1.9,5.8,0.00,0.00
2018-01-26,7.8,4.3,6.1,11.80,0.00
2018-01-27,7.4,2.9,5.0,2.60,0.00
2018-01-28,8.4,-1.3,3.9,0.00,0.00
2018-01-29,9.6,3.9,6.1,0.00,0.00
2018-01-30,8.3,4.2,5.9,0.00,0.00
2018-01-31,9.1,1.2,5.3,0.00,0.00
2018-02-01,6.5,0.3,3.3,18.50,0.21
2018-02-02,4.9,-3.1,1.0,0.00,0.00
2018-02-03,4.7,-1.3,1.7,0.20,0.00
2018-02-04,4.0,-0.6,1.5,0.00,0.00
2018-02-05,3.2,-0.4,1.5,0.00,1.61
2018-02-06,5.2,-1.3,1.8,0.00,0.00
2018-02-07,3.6,-0.3,1.5,0.60,0.49
2018-02-08,3.9,0.1,1.7,0.00,0.00
2018-02-09,5.6,-2.0,1.6,0.00,0.00
2018-02-10,3.9,0.1,2.0,0.10,0.91
2018-02-11,4.4,0.4,2.3,2.20,0.84
2018-02-12,3.4,-0.9,1.4,1.20,0.21
2018-02-13,2.5,-3.6,-0.5,0.00,0.00
2018-02-14,5.3,-1.5,2.0,0.00,0.42
2018-02-15,6.1,1.2,3.5,8.90,0.14
2018-02-16,10.6,4.8,7.6,1.80,0.00
2018-02-17,8.7,3.6,5.7,11.80,0.00
2018-02-18,4.4,0.1,2.7,0.50,0.00
2018-02-19,5.5,-1.0,1.9,0.00,0.00
2018-02-20,5.7,-0.6,2.4,0.10,0.07
2018-02-21,1.8,-1.2,0.2,0.00,0.00
2018-02-22,1.4,-1.4,-0.3,0.00,0.00
2018-02-23,1.9,-2.5,-0.7,0.00,0.00
2018-02-24,2.8,-2.8,-0.4,0.00,0.00
2018-02-25,-0.6,-4.7,-2.5,0.00,0.00
2018-02-26,-3.1,-7.7,-5.7,0.00,0.00
2018-02-27,-3.6,-8.0,-6.3,0.00,0.00
2018-02-28,0.8,-7.5,-3.2,0.00,0.14
2018-03-01,1.1,-2.8,-1.1,0.30,8.82
2018-03-02,3.9,-3.3,-0.0,1.30,3.78
2018-03-03,4.1,-4.1,0.6,1.00,0.56
2018-03-04,5.4,-0.7,1.8,4.20,0.00
2018-03-05,6.7,0.6,4.1,0.90,0.00
2018-03-06,8.1,1.4,4.9,6.70,0.00
2018-03-07,8.4,-0.5,4.1,2.70,0.00
2018-03-08,12.0,0.2,5.4,0.90,0.00
2018-03-09,13.9,1.4,7.1,0.00,0.00
2018-03-10,12.0,5.5,8.2,8.90,0.00
2018-03-11,10.3,4.5,7.8,2.90,0.00
2018-03-12,11.3,4.7,7.5,4.50,0.00
2018-03-13,7.0,2.9,5.4,5.40,0.21
2018-03-14,10.8,-0.5,5.9,0.00,0.00
2018-03-15,6.6,1.3,4.5,16.90,0.00
2018-03-16,12.5,-0.7,6.3,0.90,0.00
2018-03-17,6.6,4.2,5.3,11.50,0.00
2018-03-18,8.6,1.6,4.6,1.30,0.00
2018-03-19,6.2,1.1,3.3,2.70,0.14
2018-03-20,3.6,-1.2,1.3,0.00,0.00
2018-03-21,4.4,-0.7,1.4,0.00,0.00
2018-03-22,7.2,-1.7,2.2,0.30,0.00
2018-03-23,8.6,1.0,4.4,0.80,0.49
2018-03-24,11.5,1.6,6.2,0.00,0.00
2018-03-25,12.5,4.7,8.2,3.80,0.00
2018-03-26,12.2,2.3,7.3,0.30,0.00
2018-03-27,9.7,1.3,5.4,4.10,0.00
2018-03-28,11.0,6.6,8.8,17.80,0.00
2018-03-29,10.4,5.1,8.3,7.20,0.00
2018-03-30,7.9,2.2,4.9,19.10,0.00
2018-03-31,10.4,1.8,5.5,7.50,0.00
2018-04-01,9.4,2.9,5.8,6.40,0.00
2018-04-02,11.6,2.0,6.4,0.00,0.00
2018-04-03,17.0,3.4,10.1,0.10,0.00
2018-04-04,14.3,6.2,9.5,4.70,0.00
2018-04-05,12.5,5.2,9.0,4.20,0.00
2018-04-06,14.9,0.7,8.2,0.00,0.00
2018-04-07,16.8,5.0,11.3,0.00,0.00
2018-04-08,20.4,7.4,13.6,0.20,0.00
2018-04-09,16.8,9.1,12.2,1.00,0.00
2018-04-10,9.9,4.5,7.6,6.10,0.00
2018-04-11,14.0,2.3,8.6,0.00,0.00
2018-04-12,15.4,5.3,10.3,0.50,0.00
2018-04-13,15.3,5.6,10.5,1.30,0.00
2018-04-14,16.8,9.0,12.3,0.00,0.00
2018-04-15,18.5,8.6,13.1,0.20,0.00
2018-04-16,17.1,7.7,12.3,0.40,0.00
2018-04-17,19.1,8.0,13.3,0.00,0.00
2018-04-18,21.3,9.2,14.9,0.00,0.00
2018-04-19,22.9,9.5,16.4,0.00,0.00
2018-04-20,23.3,10.7,17.2,0.00,0.00
2018-04-21,24.1,11.5,17.9,0.00,0.00
2018-04-22,24.7,13.4,18.3,0.00,0.00
