latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.065025,8.926829,478.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,7.4,2.3,4.8,0.00,2.80
2018-01-02,5.5,2.5,3.7,0.40,11.69
2018-01-03,8.2,3.4,5.4,7.20,14.70
2018-01-04,11.3,3.7,7.5,21.70,6.72
2018-01-05,10.8,6.4,8.0,1.70,0.00
2018-01-06,11.1,4.5,7.3,0.10,0.00
2018-01-07,10.2,5.5,7.3,0.00,0.00
2018-01-08,12.1,6.0,7.6,0.30,0.00
2018-01-09,10.8,2.8,7.7,4.10,0.00
2018-01-10,8.7,1.3,4.4,0.00,0.00
2018-01-11,6.1,2.1,3.9,0.00,1.47
2018-01-12,5.3,3.1,4.1,0.10,0.49
2018-01-13,6.2,-0.2,2.8,0.00,0.00
2018-01-14,6.2,-2.2,0.9,0.00,0.00
2018-01-15,7.2,-4.3,0.8,0.00,0.49
2018-01-16,7.7,2.3,4.5,0.30,7.42
2018-01-17,4.8,-0.4,1.7,0.20,26.25
2018-01-18,9.5,-0.8,4.3,1.80,2.17
2018-01-19,8.6,2.3,3.9,1.60,19.25
2018-01-20,4.3,-0.6,2.1,0.30,10.08
2018-01-21,5.6,2.3,3.5,0.00,28.84
2018-01-22,9.3,3.6,6.7,22.40,11.76
2018-01-23,7.1,2.3,5.5,6.10,3.22
2018-01-24,12.8,3.2,7.0,0.00,0.00
2018-01-25,9.8,4.8,6.8,0.00,0.00
2018-01-26,9.2,4.0,6.5,0.10,0.00
2018-01-27,8.0,4.1,5.7,0.40,0.42
2018-01-28,10.5,2.5,6.2,0.00,0.00
2018-01-29,11.4,3.3,6.5,0.00,0.00
2018-01-30,8.2,4.7,6.2,0.20,0.14
2018-01-31,10.9,2.7,5.9,0.00,0.00
2018-02-01,5.7,0.2,3.3,0.00,8.19
2018-02-02,2.6,-2.6,0.8,0.00,0.07
2018-02-03,1.5,-3.5,-1.3,0.00,1.05
2018-02-04,2.0,-3.9,-0.6,0.10,0.35
2018-02-05,4.6,-3.6,0.0,0.00,0.00
2018-02-06,7.7,-1.4,1.8,0.00,0.00
2018-02-07,2.1,-2.4,0.5,0.00,1.82
2018-02-08,2.2,-2.0,0.7,0.00,1.19
2018-02-09,4.3,-3.4,-0.2,0.00,0.00
2018-02-10,1.7,-3.0,-0.6,0.00,0.70
2018-02-11,5.2,-2.4,1.2,0.00,4.97
2018-02-12,2.2,-3.9,-0.3,0.20,13.37
2018-02-13,0.8,-9.2,-4.5,0.00,0.21
2018-02-14,1.9,-9.6,-4.3,0.00,0.00
2018-02-15,7.8,-9.2,0.3,10.00,2.45
2018-02-16,8.5,5.5,6.6,15.30,2.17
2018-02-17,10.7,3.6,6.1,0.70,6.16
2018-02-18,3.6,0.9,1.8,0.00,2.80
2018-02-19,3.4,-0.2,1.5,0.00,0.28
2018-02-20,1.4,-2.2,0.2,0.00,2.45
2018-02-21,0.1,-3.6,-1.9,0.00,1.89
2018-02-22,-0.7,-3.5,-2.0,0.00,1.19
2018-02-23,0.7,-5.0,-2.4,0.00,0.00
2018-02-24,4.6,-3.6,-0.1,0.00,0.07
2018-02-25,-1.1,-8.2,-4.6,0.00,0.00
2018-02-26,-7.9,-12.3,-9.7,0.00,0.91
2018-02-27,-8.6,-12.4,-10.8,0.00,0.07
2018-02-28,-1.7,-16.6,-9.3,0.00,0.00
2018-03-01,5.5,-5.4,-0.6,0.00,1.82
2018-03-02,10.4,-0.1,3.0,0.00,2.03
2018-03-03,10.2,-3.4,3.1,0.00,1.05
2018-03-04,11.9,1.0,5.7,0.00,0.00
2018-03-05,11.1,2.3,6.1,0.00,0.00
2018-03-06,7.8,2.3,5.1,0.90,0.98
2018-03-07,6.1,1.8,4.1,0.00,4.13
