latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.34622,7.512275,435.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,7.2,4.0,5.3,5.80,0.42
2018-01-02,6.5,2.6,4.2,1.00,1.54
2018-01-03,11.0,4.3,6.7,11.90,0.00
2018-01-04,10.7,2.9,7.1,22.00,2.52
2018-01-05,11.5,7.2,9.4,11.00,0.00
2018-01-06,10.2,3.4,7.3,5.60,0.00
2018-01-07,9.0,2.7,5.5,0.00,0.00
2018-01-08,8.7,1.5,5.3,0.00,0.00
2018-01-09,9.8,2.3,4.8,4.50,0.00
2018-01-10,7.6,0.9,3.9,0.50,0.00
2018-01-11,7.2,2.5,4.4,2.00,0.07
2018-01-12,4.6,1.8,3.7,0.20,0.00
2018-01-13,4.9,-1.2,2.1,0.00,0.00
2018-01-14,3.0,-2.4,-0.4,0.00,0.00
2018-01-15,5.4,-2.3,1.8,1.80,0.00
2018-01-16,7.4,4.3,5.6,17.20,1.47
2018-01-17,5.1,0.1,1.9,4.40,5.46
2018-01-18,6.2,0.3,3.8,3.60,4.34
2018-01-19,7.1,1.5,4.2,7.40,4.13
2018-01-20,6.4,-0.8,2.6,6.20,2.45
2018-01-21,6.6,1.4,3.2,7.00,3.78
2018-01-22,8.6,2.9,7.0,31.50,0.14
2018-01-23,8.2,3.2,5.8,0.60,0.00
2018-01-24,11.3,3.1,6.7,0.00,0.00
2018-01-25,11.1,2.8,6.8,0.00,0.00
2018-01-26,7.8,2.6,5.8,5.20,1.89
2018-01-27,6.2,3.2,5.2,3.80,0.21
2018-01-28,9.2,2.1,5.4,0.00,0.00
2018-01-29,10.1,5.9,7.5,0.00,0.00
2018-01-30,8.6,5.0,6.6,0.40,0.00
2018-01-31,10.5,3.4,6.3,1.90,0.07
2018-02-01,7.2,-0.6,3.3,8.90,3.64
2018-02-02,4.7,-3.0,0.7,0.00,0.21
2018-02-03,2.3,-1.3,0.5,0.00,0.91
2018-02-04,4.0,-1.0,1.0,0.00,0.00
2018-02-05,2.9,-1.4,0.2,0.00,0.56
2018-02-06,5.7,-1.9,1.0,0.00,0.00
2018-02-07,1.8,-0.9,0.5,0.00,2.52
2018-02-08,2.3,-1.3,-0.1,0.00,1.19
2018-02-09,5.0,-2.4,0.7,0.00,0.00
2018-02-10,2.1,-1.0,0.5,0.00,0.70
2018-02-11,5.0,-1.1,1.6,1.20,2.45
2018-02-12,1.5,-4.9,-0.3,0.00,2.73
2018-02-13,1.1,-7.3,-3.0,0.00,0.00
2018-02-14,2.6,-5.8,-2.1,0.00,0.00
2018-02-15,7.5,-5.6,2.3,6.90,1.40
2018-02-16,8.2,3.4,5.7,12.10,0.00
2018-02-17,5.2,0.4,3.0,8.10,2.52
2018-02-18,2.3,-4.1,0.1,0.00,0.70
2018-02-19,3.4,-3.4,0.0,0.00,0.00
2018-02-20,1.0,-1.9,-0.7,0.00,0.35
2018-02-21,1.7,-3.0,-0.8,0.00,0.07
2018-02-22,-1.0,-3.2,-2.1,0.00,0.42
2018-02-23,-1.7,-3.1,-2.3,0.00,0.07
2018-02-24,0.7,-2.8,-1.6,0.00,0.00
2018-02-25,-3.1,-8.2,-5.3,0.00,0.00
2018-02-26,-4.9,-10.5,-7.9,0.00,0.00
2018-02-27,-5.7,-10.5,-8.3,0.00,0.00
2018-02-28,-1.6,-10.7,-6.7,0.00,0.00
2018-03-01,0.6,-6.6,-3.5,0.80,2.45
2018-03-02,4.5,-5.5,-0.9,0.10,2.94
2018-03-03,5.6,-4.5,1.6,0.40,0.84
2018-03-04,10.9,0.8,5.1,2.60,0.14
2018-03-05,11.1,1.2,5.8,0.70,0.00
2018-03-06,8.8,2.2,4.8,2.00,0.00
2018-03-07,8.1,0.7,4.0,1.50,0.49
2018-03-08,10.1,1.2,5.1,0.00,0.14
2018-03-09,12.2,4.2,7.5,0.00,0.00
2018-03-10,9.8,7.3,8.5,4.00,0.00
2018-03-11,12.6,4.5,7.8,5.00,0.00
2018-03-12,11.0,3.9,7.4,5.40,0.07
2018-03-13,7.6,3.6,5.4,3.10,0.00
2018-03-14,11.4,1.4,6.5,0.90,0.00
2018-03-15,10.3,1.9,5.4,0.70,0.00
2018-03-16,10.9,2.0,6.2,2.00,0.49
2018-03-17,7.6,0.2,4.0,3.20,4.69
2018-03-18,2.8,-1.2,0.6,0.00,1.96
2018-03-19,3.1,-2.7,-0.2,0.10,1.12
2018-03-20,1.7,-3.2,-1.1,0.00,0.35
2018-03-21,3.8,-2.5,-0.3,0.00,0.42
2018-03-22,4.6,-2.3,0.9,0.00,0.42
2018-03-23,7.1,1.1,3.6,0.00,0.70
2018-03-24,11.0,0.2,5.1,0.00,0.00
2018-03-25,12.9,3.3,7.6,0.80,0.00
2018-03-26,10.2,3.4,6.5,1.80,0.00
2018-03-27,9.8,1.8,5.9,2.70,0.00
2018-03-28,10.7,5.5,8.2,12.40,0.00
2018-03-29,7.7,1.5,5.0,5.20,0.07
2018-03-30,11.7,1.2,5.2,7.70,0.00
2018-03-31,7.8,2.0,4.7,2.00,0.00
2018-04-01,7.4,2.5,4.7,2.30,0.21
2018-04-02,14.7,1.0,7.1,0.10,0.00
2018-04-03,17.5,6.7,11.7,0.00,0.00
2018-04-04,17.2,5.9,9.8,6.00,0.00
2018-04-05,12.0,5.5,8.4,1.10,0.00
2018-04-06,15.8,3.0,8.9,0.00,0.00
2018-04-07,21.1,4.8,12.6,0.00,0.00
2018-04-08,21.6,9.0,16.4,0.00,0.00
2018-04-09,18.8,9.4,13.5,0.90,0.00
2018-04-10,13.6,4.8,9.8,6.10,0.00
2018-04-11,16.3,2.8,10.1,0.00,0.00
2018-04-12,17.1,7.6,12.0,0.50,0.00
2018-04-13,15.9,7.5,10.7,0.60,0.00
2018-04-14,17.9,8.6,13.4,0.00,0.00
2018-04-15,18.2,8.0,13.2,0.20,0.00
2018-04-16,16.6,8.5,13.1,1.30,0.00
2018-04-17,19.8,9.4,14.7,0.00,0.00
2018-04-18,21.7,11.3,16.3,0.00,0.00
2018-04-19,23.7,9.5,17.2,0.00,0.00
2018-04-20,24.6,11.4,19.3,0.00,0.00
2018-04-21,25.1,12.8,19.4,0.00,0.00
2018-04-22,24.4,13.9,19.1,0.00,0.00
2018-04-23,20.1,12.7,15.6,4.60,0.00
2018-04-24,21.3,10.0,15.5,0.10,0.00
2018-04-25,21.3,11.5,15.8,1.30,0.00
2018-04-26,12.9,9.3,11.0,1.40,0.00
2018-04-27,20.8,7.2,13.7,0.00,0.00
2018-04-28,19.1,11.2,14.2,0.40,0.00
2018-04-29,22.2,9.6,15.3,4.30,0.00
2018-04-30,14.9,8.0,11.3,9.70,0.00
2018-05-01,11.2,6.2,8.5,2.20,0.00
2018-05-02,13.1,6.5,10.0,0.50,0.00
2018-05-03,12.3,9.2,10.9,7.70,0.00
2018-05-04,18.3,10.1,13.8,1.20,0.00
2018-05-05,20.7,11.5,16.0,0.30,0.00
2018-05-06,23.0,13.7,18.2,0.00,0.00
2018-05-07,22.8,12.5,17.7,0.30,0.00
2018-05-08,23.0,11.3,18.1,1.90,0.00
2018-05-09,21.0,12.9,17.1,0.80,0.00
2018-05-10,14.3,10.8,12.4,8.50,0.00
2018-05-11,20.0,8.1,14.2,0.10,0.00
2018-05-12,22.1,11.7,17.7,0.10,0.00
2018-05-13,15.4,8.7,10.5,5.20,0.00
2018-05-14,12.8,8.5,10.6,3.20,0.00
2018-05-15,14.8,9.5,12.1,16.00,0.00
2018-05-16,14.1,8.6,11.5,7.00,0.00
2018-05-17,16.1,9.0,12.3,7.80,0.00
2018-05-18,18.3,8.0,14.0,0.40,0.00
2018-05-19,17.5,9.2,13.3,4.30,0.00
2018-05-20,17.1,8.3,13.5,1.60,0.00
2018-05-21,21.6,10.4,15.9,4.30,0.00
2018-05-22,21.3,11.3,16.8,1.10,0.00
2018-05-23,18.8,11.4,15.5,10.20,0.00
2018-05-24,21.2,11.6,17.1,0.20,0.00
2018-05-25,23.8,12.0,19.1,0.10,0.00
2018-05-26,25.9,13.9,20.4,2.40,0.00
2018-05-27,25.2,15.8,20.5,1.60,0.00
2018-05-28,24.1,14.0,19.3,0.40,0.00
2018-05-29,21.9,15.5,18.2,7.90,0.00
2018-05-30,24.6,13.6,19.0,6.50,0.00
2018-05-31,22.9,13.8,18.0,12.90,0.00
2018-06-01,20.7,13.2,17.2,6.60,0.00
2018-06-02,22.1,13.7,18.0,5.70,0.00
2018-06-03,23.6,14.0,18.9,0.70,0.00
2018-06-04,24.0,15.2,19.5,1.60,0.00
2018-06-05,23.7,13.8,19.0,1.20,0.00
2018-06-06,23.6,15.4,19.3,4.30,0.00
2018-06-07,21.8,16.0,18.3,7.90,0.00
2018-06-08,22.6,15.5,18.7,8.40,0.00
2018-06-09,23.7,15.2,19.2,1.20,0.00
2018-06-10,24.6,15.4,20.6,2.40,0.00
2018-06-11,24.1,15.6,19.4,9.90,0.00
2018-06-12,19.2,14.8,17.0,6.40,0.00
2018-06-13,15.7,12.0,14.0,8.40,0.00
2018-06-14,19.2,10.2,14.6,0.20,0.00
2018-06-15,20.8,12.4,16.7,0.10,0.00
2018-06-16,22.6,13.5,18.5,0.60,0.00
2018-06-17,21.0,14.9,17.1,1.50,0.00
2018-06-18,21.5,13.3,17.4,0.10,0.00
2018-06-19,24.8,13.2,19.3,0.00,0.00
2018-06-20,27.2,14.8,21.6,0.20,0.00
2018-06-21,25.5,15.3,21.6,1.60,0.00
2018-06-22,18.1,9.4,13.6,0.10,0.00
2018-06-23,20.3,10.0,14.6,0.00,0.00
2018-06-24,19.7,10.8,15.5,0.80,0.00
2018-06-25,20.0,10.7,16.2,0.30,0.00
2018-06-26,24.1,13.5,18.5,0.00,0.00
2018-06-27,25.3,14.7,19.5,0.00,0.00
2018-06-28,23.0,13.8,18.0,0.00,0.00
2018-06-29,22.6,14.2,18.6,0.10,0.00
2018-06-30,28.9,17.5,23.2,0.10,0.00
2018-07-01,29.2,17.8,23.6,0.00,0.00
2018-07-02,29.4,16.8,22.9,0.50,0.00
