latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.065025,8.341463,436.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,8.6,1.2,5.2,4.70,0.00
2018-01-02,7.0,3.5,5.0,3.00,0.00
2018-01-03,13.5,3.1,6.9,8.70,0.14
2018-01-04,11.2,3.7,7.6,16.80,0.00
2018-01-05,11.0,3.7,7.8,5.80,0.00
2018-01-06,7.9,2.7,5.7,0.50,0.00
2018-01-07,6.4,2.4,4.1,0.00,0.00
2018-01-08,7.6,1.5,4.4,0.00,0.00
2018-01-09,9.2,1.6,4.8,2.90,0.00
2018-01-10,6.8,1.4,3.9,0.00,0.00
2018-01-11,6.8,3.1,4.6,0.70,0.00
2018-01-12,4.6,2.8,3.7,1.50,0.00
2018-01-13,2.9,-0.6,1.6,0.00,0.00
2018-01-14,1.2,-2.0,-0.0,0.00,0.00
2018-01-15,5.9,-0.3,2.5,0.10,0.14
2018-01-16,10.5,2.4,6.0,7.10,0.14
2018-01-17,6.3,1.6,3.2,8.50,1.54
2018-01-18,9.1,2.1,5.6,5.70,0.14
2018-01-19,8.7,2.4,5.2,10.10,0.56
2018-01-20,6.5,0.7,2.9,4.30,1.61
2018-01-21,7.1,1.9,4.0,11.70,3.85
2018-01-22,8.7,2.0,6.3,28.40,0.07
2018-01-23,8.1,3.1,6.1,3.10,0.00
2018-01-24,10.9,0.7,5.9,0.00,0.00
2018-01-25,11.3,1.3,6.3,0.00,0.00
2018-01-26,8.9,1.7,5.3,0.10,0.00
2018-01-27,7.0,3.9,5.0,0.10,0.00
2018-01-28,8.9,0.5,5.4,0.00,0.00
2018-01-29,10.2,2.9,6.5,0.00,0.00
2018-01-30,8.8,2.6,5.7,0.00,0.00
2018-01-31,10.2,2.5,5.6,2.50,0.00
2018-02-01,5.6,-1.0,3.1,7.80,1.54
2018-02-02,5.1,-1.5,2.0,0.00,0.00
2018-02-03,3.5,-0.9,1.2,0.00,2.59
2018-02-04,3.5,-0.8,1.7,0.00,0.63
2018-02-05,1.8,-2.1,-0.1,0.00,0.00
2018-02-06,1.5,-2.7,-0.7,0.00,0.00
2018-02-07,2.0,-1.7,0.7,0.00,2.38
2018-02-08,3.1,-0.1,1.0,0.00,0.98
2018-02-09,4.7,-1.6,1.4,0.00,0.00
2018-02-10,2.9,-1.4,0.7,0.00,1.19
2018-02-11,4.5,0.0,2.0,3.70,1.12
2018-02-12,3.0,-2.7,1.0,1.20,5.46
2018-02-13,1.7,-3.5,-0.9,0.00,0.28
2018-02-14,2.8,-3.6,-0.3,0.00,0.00
2018-02-15,7.2,-3.0,1.7,7.00,1.75
2018-02-16,7.8,2.2,4.9,16.60,0.00
2018-02-17,5.6,1.1,2.5,7.30,1.12
2018-02-18,2.3,0.0,1.1,0.40,2.94
2018-02-19,2.0,-1.4,0.4,0.00,0.00
2018-02-20,2.2,-1.1,0.4,0.00,0.98
2018-02-21,1.3,-2.1,-0.7,0.00,0.42
2018-02-22,0.0,-2.3,-1.2,0.00,0.84
2018-02-23,-0.2,-2.4,-1.5,0.00,0.00
2018-02-24,1.8,-4.1,-1.7,0.00,0.00
2018-02-25,-1.7,-6.0,-4.0,0.00,0.00
2018-02-26,-6.2,-8.5,-7.3,0.00,0.28
2018-02-27,-5.4,-8.8,-7.4,0.00,1.12
2018-02-28,-0.1,-8.2,-4.9,0.00,0.00
2018-03-01,2.4,-5.1,-2.1,0.00,2.03
2018-03-02,3.0,-6.6,-2.8,0.00,1.47
2018-03-03,5.8,-2.9,1.1,1.60,0.35
2018-03-04,10.4,-0.9,5.4,0.60,0.00
2018-03-05,10.3,0.8,5.6,0.10,0.00
2018-03-06,8.5,-0.5,4.1,6.20,0.63
2018-03-07,8.9,0.7,4.8,2.00,0.00
2018-03-08,10.3,0.7,5.0,0.70,0.14
2018-03-09,13.0,0.5,6.2,0.00,0.00
2018-03-10,10.7,3.2,7.3,0.20,0.00
2018-03-11,13.1,4.1,8.6,1.80,0.00
2018-03-12,12.8,4.0,7.3,7.20,0.00
2018-03-13,9.8,1.0,6.2,3.30,0.28
2018-03-14,11.6,3.5,6.9,0.90,0.00
2018-03-15,13.6,0.9,6.3,0.30,0.00
2018-03-16,11.0,0.8,5.8,2.20,0.00
2018-03-17,7.1,1.5,4.1,9.40,1.26
2018-03-18,3.6,-0.6,1.3,0.30,1.89
2018-03-19,3.1,-1.3,0.5,0.00,1.61
2018-03-20,1.1,-2.6,-0.7,0.00,0.98
2018-03-21,3.1,-2.6,0.3,0.00,1.19
2018-03-22,6.3,-4.5,0.5,0.00,0.07
2018-03-23,8.0,0.9,4.1,0.00,0.91
2018-03-24,10.4,-3.0,4.6,0.00,0.00
2018-03-25,11.9,-0.2,5.8,0.30,0.00
2018-03-26,9.5,4.1,6.1,8.40,0.14
2018-03-27,9.4,4.1,6.2,7.40,0.00
2018-03-28,12.9,4.7,8.0,9.20,0.00
2018-03-29,8.2,2.9,5.7,12.60,0.00
2018-03-30,13.4,1.5,6.1,7.70,0.00
2018-03-31,6.7,1.7,4.0,8.40,0.56
2018-04-01,8.8,2.4,5.4,4.50,0.28
2018-04-02,15.1,-0.3,6.9,0.00,0.00
2018-04-03,17.6,3.3,10.2,0.00,0.00
2018-04-04,18.3,4.1,9.6,3.10,0.00
2018-04-05,13.0,4.2,8.4,0.30,0.00
2018-04-06,14.6,3.7,9.0,0.00,0.00
2018-04-07,19.7,5.0,12.2,0.00,0.00
2018-04-08,20.8,6.5,13.5,0.00,0.00
2018-04-09,19.0,7.8,13.3,0.00,0.00
2018-04-10,16.8,6.1,10.4,1.30,0.00
