latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.994724,7.0129867,450.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,7.5,3.8,5.2,10.20,0.00
2018-01-02,5.8,3.6,4.6,3.70,0.07
2018-01-03,10.7,4.9,7.0,11.20,0.00
2018-01-04,10.1,3.9,7.4,40.10,0.00
2018-01-05,10.9,6.4,9.0,9.80,0.00
2018-01-06,9.7,4.1,7.4,6.20,0.00
2018-01-07,8.4,4.0,5.9,0.00,0.00
2018-01-08,7.5,3.4,4.8,0.60,0.00
2018-01-09,6.6,2.8,4.8,3.00,0.00
2018-01-10,5.0,1.5,3.7,0.90,0.00
2018-01-11,6.8,1.9,4.1,2.60,0.00
2018-01-12,5.2,2.8,3.9,0.00,0.00
2018-01-13,5.1,-0.5,2.6,0.00,0.00
2018-01-14,1.8,-0.2,0.8,0.00,0.00
2018-01-15,5.3,-1.1,2.3,2.80,0.00
2018-01-16,7.9,4.7,6.3,19.10,0.07
2018-01-17,5.8,1.2,3.1,11.50,1.12
2018-01-18,6.0,2.0,4.0,11.10,2.52
2018-01-19,6.5,2.7,5.0,9.10,0.21
2018-01-20,5.5,0.8,3.0,9.30,1.54
2018-01-21,6.8,3.5,4.9,21.10,0.00
2018-01-22,8.7,4.0,7.2,35.20,0.00
2018-01-23,8.5,2.3,6.1,0.40,0.00
2018-01-24,10.4,4.7,6.5,0.00,0.00
2018-01-25,10.1,1.7,6.0,0.00,0.00
2018-01-26,7.5,4.0,5.7,7.60,0.00
2018-01-27,6.7,3.8,4.9,3.20,0.00
2018-01-28,8.4,2.6,5.3,0.00,0.00
2018-01-29,9.6,5.1,6.7,0.00,0.00
2018-01-30,8.0,4.7,6.0,0.00,0.00
2018-01-31,8.9,2.3,5.5,1.20,0.07
2018-02-01,7.6,-0.5,3.4,15.60,0.28
2018-02-02,4.4,-2.8,1.5,0.10,0.00
2018-02-03,3.1,-0.1,1.4,0.10,1.61
2018-02-04,3.3,-1.6,0.8,0.00,0.00
2018-02-05,2.8,-0.4,1.1,0.00,0.84
2018-02-06,4.4,-1.5,1.5,0.00,0.00
2018-02-07,2.9,0.2,1.6,0.10,0.91
2018-02-08,3.6,-0.7,1.3,0.00,0.28
2018-02-09,3.3,-1.3,1.0,0.00,0.00
2018-02-10,3.6,-1.2,1.6,0.00,0.91
2018-02-11,4.1,-0.6,2.1,2.40,0.56
2018-02-12,2.4,-2.2,0.8,0.50,1.05
2018-02-13,2.1,-3.2,-0.5,0.00,0.21
2018-02-14,3.9,-1.3,0.5,0.00,0.35
2018-02-15,6.4,-0.3,3.0,8.50,1.47
2018-02-16,7.8,4.2,6.2,9.00,0.00
2018-02-17,5.8,3.1,4.4,7.80,0.00
2018-02-18,3.3,0.2,1.9,0.20,0.14
2018-02-19,3.7,-0.3,1.3,0.00,0.00
2018-02-20,5.1,-0.6,1.5,0.00,0.14
2018-02-21,1.7,-1.6,-0.1,0.00,0.00
2018-02-22,0.6,-1.9,-0.9,0.00,0.00
2018-02-23,0.3,-1.8,-1.0,0.00,0.07
2018-02-24,1.8,-1.6,-0.2,0.00,0.00
2018-02-25,-1.5,-5.5,-3.5,0.00,0.00
2018-02-26,-3.5,-8.6,-6.5,0.00,0.00
2018-02-27,-4.7,-9.0,-7.1,0.00,0.00
2018-02-28,-0.2,-8.4,-4.9,0.00,0.00
2018-03-01,1.1,-4.1,-2.2,0.80,6.86
2018-03-02,4.3,-4.0,-0.4,0.40,2.24
2018-03-03,3.8,-0.6,1.6,1.30,0.77
2018-03-04,7.3,1.9,4.0,2.70,0.00
2018-03-05,10.0,2.9,5.5,0.70,0.00
2018-03-06,7.4,1.3,3.9,2.50,0.00
2018-03-07,7.0,1.8,4.2,1.60,0.00
2018-03-08,9.9,2.2,4.8,0.70,0.07
2018-03-09,12.1,1.9,6.5,0.00,0.00
2018-03-10,9.4,4.7,6.8,5.20,0.00
2018-03-11,9.9,3.9,6.9,6.70,0.00
2018-03-12,9.8,2.9,6.7,4.00,0.00
2018-03-13,6.7,3.8,5.1,5.00,0.00
2018-03-14,10.9,2.3,6.2,0.40,0.00
2018-03-15,8.9,1.3,4.4,4.20,0.00
2018-03-16,11.0,2.2,6.1,2.40,0.00
2018-03-17,7.5,1.8,4.4,11.80,0.35
2018-03-18,4.2,0.4,2.3,0.50,2.03
2018-03-19,4.5,-0.7,1.6,0.00,0.14
2018-03-20,2.4,-2.1,0.3,0.00,0.00
2018-03-21,3.7,-1.2,0.6,0.00,0.07
2018-03-22,6.1,-3.5,0.9,0.10,0.63
2018-03-23,8.0,1.3,3.9,0.10,0.56
2018-03-24,10.7,-0.2,5.0,0.00,0.00
2018-03-25,11.9,4.7,7.3,0.10,0.00
2018-03-26,11.0,3.2,6.7,2.40,0.00
2018-03-27,9.2,2.4,5.6,4.40,0.00
2018-03-28,10.1,5.7,8.0,15.20,0.00
2018-03-29,7.4,2.7,5.2,6.90,0.00
2018-03-30,10.1,0.0,4.8,9.40,0.14
2018-03-31,7.2,2.4,4.1,4.30,0.00
2018-04-01,8.5,2.2,4.8,2.80,0.00
2018-04-02,11.5,0.4,6.3,0.10,0.00
2018-04-03,16.3,5.6,10.8,0.10,0.00
2018-04-04,14.3,4.6,9.0,7.00,0.00
2018-04-05,12.6,4.5,8.1,2.70,0.00
2018-04-06,15.9,2.4,8.6,0.00,0.00
2018-04-07,18.5,3.6,11.9,0.00,0.00
2018-04-08,20.4,7.9,13.4,0.10,0.00
2018-04-09,18.5,8.3,12.5,1.20,0.00
2018-04-10,13.0,4.9,8.6,9.60,0.00
2018-04-11,16.2,2.9,9.9,0.00,0.00
2018-04-12,16.7,6.9,10.9,0.10,0.00
2018-04-13,14.7,5.7,10.0,0.70,0.00
2018-04-14,18.2,6.4,12.1,0.00,0.00
2018-04-15,18.5,5.9,12.2,0.00,0.00
2018-04-16,16.3,8.1,12.3,5.50,0.00
2018-04-17,19.8,8.1,13.5,0.00,0.00
2018-04-18,21.4,8.5,14.6,0.00,0.00
2018-04-19,22.9,11.2,16.4,0.00,0.00
2018-04-20,24.0,12.6,17.7,0.00,0.00
2018-04-21,24.6,12.9,18.0,0.00,0.00
2018-04-22,23.7,12.3,17.8,0.00,0.00
2018-04-23,20.9,12.2,15.5,1.30,0.00
2018-04-24,20.5,8.7,14.4,0.00,0.00
2018-04-25,21.4,10.1,15.8,0.10,0.00
2018-04-26,14.1,9.1,11.6,0.10,0.00
2018-04-27,20.3,6.2,12.7,0.00,0.00
2018-04-28,20.7,10.5,14.4,2.10,0.00
2018-04-29,21.1,10.1,15.4,1.80,0.00
2018-04-30,14.1,8.3,11.0,10.50,0.00
2018-05-01,11.1,6.8,8.8,2.20,0.00
2018-05-02,14.0,6.3,10.6,0.20,0.00
2018-05-03,12.9,9.8,11.1,7.50,0.00
2018-05-04,17.8,11.5,14.2,0.10,0.00
2018-05-05,20.7,13.0,16.6,0.00,0.00
2018-05-06,23.8,11.6,17.6,0.00,0.00
2018-05-07,22.7,11.4,17.0,0.00,0.00
2018-05-08,22.0,11.3,17.1,1.30,0.00
2018-05-09,19.2,11.3,15.4,9.50,0.00
2018-05-10,13.7,11.0,12.3,9.20,0.00
2018-05-11,20.1,9.1,14.6,0.00,0.00
2018-05-12,22.8,11.9,17.4,1.20,0.00
2018-05-13,14.0,9.0,11.0,8.00,0.00
2018-05-14,13.4,8.8,10.5,3.50,0.00
2018-05-15,15.7,10.2,12.2,12.60,0.00
2018-05-16,14.4,7.5,10.8,5.40,0.00
2018-05-17,17.3,6.9,12.2,6.00,0.00
2018-05-18,19.3,8.8,14.1,0.00,0.00
