latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.697712,8.613861,407.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,7.5,2.4,5.5,4.70,0.00
2018-01-02,5.4,2.1,3.9,3.40,0.42
2018-01-03,11.4,1.5,6.1,9.40,1.19
2018-01-04,10.5,2.7,6.5,27.40,0.00
2018-01-05,11.7,5.8,8.9,9.00,0.00
2018-01-06,9.0,4.7,6.6,4.50,0.00
2018-01-07,8.4,3.7,5.2,0.00,0.00
2018-01-08,8.6,3.5,5.1,0.00,0.00
2018-01-09,8.1,0.3,4.1,0.20,0.00
2018-01-10,6.5,0.0,3.1,0.40,0.00
2018-01-11,7.9,-1.2,3.3,2.60,0.00
2018-01-12,4.6,2.3,3.6,0.00,0.00
2018-01-13,3.6,-0.1,2.0,0.00,0.00
2018-01-14,1.7,-2.9,-0.7,0.00,0.00
2018-01-15,4.0,-3.3,-0.5,1.40,0.00
2018-01-16,6.9,1.7,5.3,16.30,0.21
2018-01-17,4.8,0.9,2.2,7.80,2.87
2018-01-18,5.8,0.9,3.6,7.40,3.43
2018-01-19,6.2,1.0,3.8,15.30,0.56
2018-01-20,4.7,0.1,1.9,6.60,6.44
2018-01-21,5.7,0.8,3.3,5.20,1.12
2018-01-22,8.8,0.9,5.9,23.80,2.24
2018-01-23,8.0,1.3,5.1,0.00,0.00
2018-01-24,10.6,1.0,4.6,0.00,0.00
2018-01-25,9.3,0.1,4.1,0.00,0.00
2018-01-26,9.6,1.0,5.1,1.20,0.00
2018-01-27,7.3,5.3,6.1,1.30,0.00
2018-01-28,8.0,3.4,5.8,0.00,0.00
2018-01-29,8.3,5.2,6.6,0.00,0.00
2018-01-30,8.9,3.4,6.2,0.60,0.00
2018-01-31,10.0,2.7,5.5,1.90,0.00
2018-02-01,6.0,-1.6,2.7,15.30,0.84
2018-02-02,4.4,-2.2,0.3,0.00,0.00
2018-02-03,3.5,-4.1,-0.5,0.30,0.21
2018-02-04,4.2,-3.3,-0.0,0.00,0.00
2018-02-05,2.7,-2.0,-0.2,0.00,0.00
2018-02-06,3.6,-2.9,-0.5,0.00,0.00
2018-02-07,3.3,-3.3,-0.3,0.00,0.63
2018-02-08,2.6,-1.4,0.5,0.10,1.54
2018-02-09,3.2,-2.6,-0.1,0.00,0.00
2018-02-10,3.4,-3.9,-0.7,0.00,0.00
2018-02-11,3.0,-1.7,0.7,1.40,0.70
