latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.994724,8.474026,520.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,8.5,2.7,6.1,4.80,0.84
2018-01-02,6.6,3.0,4.6,2.00,2.73
2018-01-03,9.7,3.7,6.4,9.50,0.63
2018-01-04,8.8,5.2,7.1,20.30,0.00
2018-01-05,10.4,6.8,8.5,2.20,0.00
2018-01-06,8.3,6.0,6.8,0.20,0.00
2018-01-07,9.5,4.5,7.1,0.00,0.00
2018-01-08,10.4,4.0,7.4,0.00,0.00
2018-01-09,9.6,4.1,6.8,4.50,0.00
2018-01-10,7.4,2.4,5.5,0.00,0.00
2018-01-11,6.0,4.2,4.9,1.70,0.00
2018-01-12,4.5,1.8,3.3,3.80,0.00
2018-01-13,3.6,1.4,2.6,0.00,0.00
2018-01-14,3.1,1.7,2.4,0.10,0.00
2018-01-15,6.7,1.6,3.9,0.00,0.28
2018-01-16,8.7,2.7,4.8,7.60,1.33
2018-01-17,5.4,-0.0,1.9,4.70,7.28
2018-01-18,6.9,0.7,3.9,3.80,1.26
2018-01-19,6.8,2.3,4.1,7.10,6.02
2018-01-20,5.2,0.7,3.1,2.30,3.92
2018-01-21,5.2,2.0,3.5,14.60,10.64
2018-01-22,8.0,3.5,6.3,30.00,0.49
2018-01-23,7.8,4.3,6.0,7.30,0.00
2018-01-24,11.2,3.6,7.8,0.00,0.00
2018-01-25,10.3,3.0,6.3,0.00,0.00
2018-01-26,9.0,3.0,6.7,1.10,0.00
2018-01-27,5.9,2.4,4.2,1.10,0.00
2018-01-28,8.7,5.0,6.8,0.00,0.00
2018-01-29,8.7,5.7,7.3,0.00,0.00
2018-01-30,7.8,5.4,6.2,0.00,0.00
2018-01-31,8.8,3.1,6.1,0.00,0.00
2018-02-01,7.2,1.9,3.6,5.70,7.14
2018-02-02,3.4,0.6,2.1,0.00,1.19
2018-02-03,2.6,-0.0,1.1,0.10,2.17
2018-02-04,2.9,-0.6,1.4,0.10,2.17
2018-02-05,3.2,-1.3,1.2,0.00,0.28
2018-02-06,5.4,-0.1,2.7,0.00,0.00
2018-02-07,3.1,-0.9,0.9,0.00,1.82
2018-02-08,2.2,-0.3,0.8,0.00,1.12
2018-02-09,3.0,-0.2,1.6,0.00,0.00
2018-02-10,2.5,-1.1,0.9,0.00,1.54
2018-02-11,4.3,-0.6,1.8,0.70,3.85
2018-02-12,2.5,-0.5,0.9,0.20,10.29
2018-02-13,0.9,-1.5,-0.2,0.00,0.84
2018-02-14,2.4,-1.0,1.0,0.00,0.00
2018-02-15,7.7,1.0,4.1,8.50,1.89
2018-02-16,8.5,4.1,5.9,15.10,0.00
2018-02-17,6.7,2.0,4.7,8.30,2.24
2018-02-18,2.1,0.6,1.3,0.00,4.06
2018-02-19,1.9,-0.3,0.8,0.00,0.42
2018-02-20,1.5,-0.9,0.6,0.10,2.73
2018-02-21,1.0,-1.5,-0.6,0.10,1.26
2018-02-22,-0.2,-1.8,-1.1,0.00,1.61
2018-02-23,-1.4,-2.7,-2.1,0.10,0.42
2018-02-24,-0.2,-3.5,-2.2,0.00,0.28
2018-02-25,-2.5,-6.0,-4.3,0.00,0.70
2018-02-26,-5.6,-8.1,-7.3,0.00,1.26
2018-02-27,-6.2,-9.2,-7.7,0.10,1.05
2018-02-28,-0.4,-7.7,-4.5,0.00,0.00
2018-03-01,4.6,-2.5,0.6,0.00,1.89
2018-03-02,3.6,-3.5,1.1,0.00,1.40
2018-03-03,6.2,2.1,3.6,0.50,0.70
2018-03-04,11.1,2.8,6.5,0.00,0.00
2018-03-05,9.3,4.5,6.6,0.00,0.00
2018-03-06,7.3,4.9,5.8,2.10,1.61
2018-03-07,6.2,3.7,5.0,3.80,1.12
2018-03-08,8.5,2.5,5.2,0.40,0.21
2018-03-09,12.0,3.4,7.5,0.00,0.00
2018-03-10,11.4,6.9,8.6,0.00,0.00
2018-03-11,13.2,6.1,9.5,1.10,0.00
