latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.41652,9.442623,679.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,6.5,1.6,4.3,4.00,0.42
2018-01-02,4.4,1.5,2.6,0.90,1.82
2018-01-03,10.5,1.4,4.6,10.10,1.54
2018-01-04,9.2,2.2,5.5,27.60,0.91
2018-01-05,10.6,6.3,7.9,5.10,0.00
2018-01-06,8.7,3.1,5.5,0.00,0.00
2018-01-07,9.0,1.5,4.6,0.00,0.00
2018-01-08,9.6,2.0,5.0,0.00,0.00
2018-01-09,11.1,1.0,4.7,0.20,0.00
2018-01-10,7.6,-0.9,2.6,0.00,0.00
2018-01-11,5.6,-0.3,2.8,0.70,0.00
2018-01-12,3.3,0.9,1.7,0.40,0.00
2018-01-13,2.6,-2.5,-0.3,0.00,0.00
2018-01-14,1.3,-3.2,-1.5,0.00,0.00
2018-01-15,5.6,-3.8,0.3,0.00,0.14
2018-01-16,6.6,1.1,3.7,12.10,1.40
2018-01-17,3.1,-1.6,0.3,4.60,10.08
2018-01-18,6.9,-0.9,3.4,3.90,1.54
2018-01-19,7.0,0.2,2.5,9.90,6.09
2018-01-20,4.5,-1.6,1.1,0.20,4.69
2018-01-21,3.5,-0.7,1.3,9.10,6.79
2018-01-22,7.1,-0.1,4.7,31.00,3.29
2018-01-23,5.6,-0.6,4.1,5.20,0.00
2018-01-24,10.6,-0.4,4.8,0.00,0.00
2018-01-25,9.2,4.1,5.8,0.00,0.00
2018-01-26,7.8,2.0,4.6,0.00,0.00
2018-01-27,6.8,1.6,4.0,0.00,0.00
2018-01-28,9.9,1.2,4.8,0.00,0.00
2018-01-29,10.1,1.6,5.4,0.00,0.00
2018-01-30,7.1,3.5,5.1,0.10,0.00
2018-01-31,10.0,1.3,5.2,0.10,0.00
2018-02-01,4.7,-0.6,2.2,3.60,3.15
2018-02-02,3.0,-2.7,-0.1,0.00,0.00
2018-02-03,2.1,-3.3,-1.2,0.00,2.31
2018-02-04,1.5,-2.9,-0.9,0.00,0.07
2018-02-05,1.8,-3.1,-1.1,0.00,0.00
2018-02-06,3.4,-4.3,-0.9,0.00,0.00
2018-02-07,0.8,-2.0,-0.8,0.00,2.10
2018-02-08,0.8,-2.5,-1.2,0.00,2.38
2018-02-09,2.6,-3.8,-1.2,0.00,0.00
2018-02-10,2.1,-3.4,-1.1,0.00,0.00
2018-02-11,4.7,-3.5,0.5,0.80,3.08
2018-02-12,1.1,-6.2,-1.5,0.00,4.76
2018-02-13,-0.6,-13.3,-7.2,0.00,0.00
2018-02-14,0.4,-10.3,-5.7,0.00,0.28
2018-02-15,4.7,-8.0,-1.1,10.10,1.19
2018-02-16,5.6,0.9,3.2,19.40,0.42
2018-02-17,3.6,-0.4,1.4,3.20,5.46
2018-02-18,0.5,-4.2,-1.2,0.00,2.24
2018-02-19,0.5,-6.9,-2.7,0.00,0.21
2018-02-20,-0.3,-3.0,-1.8,0.00,1.05
2018-02-21,0.1,-4.4,-2.4,0.00,0.07
2018-02-22,-0.5,-4.1,-2.8,0.00,0.21
2018-02-23,-0.7,-4.6,-3.3,0.00,0.00
2018-02-24,1.3,-5.0,-2.7,0.00,0.00
2018-02-25,-3.7,-8.4,-6.1,0.00,0.00
2018-02-26,-7.4,-11.3,-9.6,0.00,0.00
2018-02-27,-7.2,-11.2,-9.7,0.00,0.14
2018-02-28,-3.6,-11.1,-7.8,0.00,0.00
2018-03-01,-1.6,-6.7,-4.8,0.00,0.70
2018-03-02,2.4,-6.8,-2.5,0.00,1.89
2018-03-03,7.0,-4.2,0.2,0.70,1.47
2018-03-04,10.5,-0.4,4.7,0.50,0.00
2018-03-05,10.3,1.7,5.2,0.00,0.00
2018-03-06,7.8,0.1,3.4,0.50,0.00
2018-03-07,6.6,1.0,3.3,1.90,0.14
2018-03-08,9.0,-1.2,3.7,0.00,0.00
2018-03-09,12.1,1.8,6.9,0.30,0.00
2018-03-10,10.9,5.7,8.1,0.60,0.00
2018-03-11,15.0,6.3,9.4,2.20,0.00
2018-03-12,11.9,3.5,6.9,4.40,0.00
2018-03-13,8.0,1.5,5.0,1.70,0.00
2018-03-14,8.2,3.0,4.9,1.40,0.00
2018-03-15,12.4,0.4,6.3,0.20,0.00
2018-03-16,9.7,1.1,5.4,1.90,0.56
2018-03-17,6.6,-0.5,3.8,4.50,1.82
2018-03-18,2.4,-2.5,-0.8,0.00,1.47
2018-03-19,-0.3,-3.5,-2.0,0.00,1.33
2018-03-20,-0.5,-4.5,-2.7,0.00,1.47
2018-03-21,0.6,-5.7,-2.3,0.00,2.80
2018-03-22,4.0,-11.1,-1.7,0.00,0.42
2018-03-23,4.6,-0.9,1.3,0.10,2.24
2018-03-24,7.7,-2.6,2.5,0.00,0.00
2018-03-25,10.5,0.8,5.2,0.00,0.00
2018-03-26,8.4,1.8,5.0,1.00,0.00
2018-03-27,8.1,0.4,4.1,3.70,1.26
2018-03-28,10.8,3.4,6.9,15.50,0.21
2018-03-29,7.2,1.5,4.8,10.10,0.00
2018-03-30,15.3,0.5,6.7,2.50,0.28
2018-03-31,5.3,1.1,2.9,8.80,2.94
2018-04-01,6.8,1.0,3.3,3.40,2.80
