latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.85413,8.592234,467.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,7.4,3.9,5.7,0.00,4.34
2018-01-02,4.8,1.8,3.3,0.00,7.14
2018-01-03,8.1,3.5,5.9,0.40,11.62
2018-01-04,9.1,3.5,6.5,13.30,12.53
2018-01-05,11.2,6.6,8.5,3.90,0.07
2018-01-06,9.6,4.9,7.4,0.00,0.00
2018-01-07,10.1,6.2,8.1,0.20,0.00
2018-01-08,10.4,6.0,8.4,0.90,0.00
2018-01-09,10.0,3.7,7.5,2.20,4.41
2018-01-10,7.8,2.9,5.2,0.00,0.00
2018-01-11,6.2,2.6,4.3,0.00,0.70
2018-01-12,5.5,3.3,4.6,0.00,0.98
2018-01-13,7.7,0.1,2.6,0.00,0.00
2018-01-14,6.0,-2.4,1.3,0.00,0.00
2018-01-15,5.9,-3.6,0.3,0.00,0.70
2018-01-16,5.3,1.9,3.0,0.00,11.41
2018-01-17,3.4,-0.8,0.9,0.20,17.22
2018-01-18,7.1,-1.3,2.9,0.10,6.02
2018-01-19,6.8,1.4,3.8,0.00,16.80
2018-01-20,4.7,-1.2,1.4,0.00,10.36
2018-01-21,4.5,2.1,3.1,0.20,36.05
2018-01-22,10.5,3.8,7.0,6.40,20.86
2018-01-23,7.9,2.4,6.2,0.30,8.19
2018-01-24,10.4,1.9,5.5,0.00,0.00
2018-01-25,7.8,3.3,5.4,0.10,0.00
2018-01-26,9.6,3.4,6.6,0.00,0.00
2018-01-27,9.6,2.6,6.9,0.00,0.35
2018-01-28,10.1,-1.0,3.8,0.00,0.00
2018-01-29,12.8,1.3,6.3,0.00,0.00
2018-01-30,9.1,1.2,5.1,0.00,0.00
2018-01-31,11.2,0.1,5.1,0.00,0.00
2018-02-01,6.9,1.0,4.2,0.10,7.70
2018-02-02,2.6,0.8,1.7,0.10,1.82
2018-02-03,1.1,-1.3,0.1,0.10,2.52
2018-02-04,1.7,-2.5,-0.0,0.00,2.66
2018-02-05,3.8,-2.3,0.5,0.00,0.14
2018-02-06,5.1,-2.2,0.6,0.00,0.00
2018-02-07,2.3,-0.9,0.9,0.00,1.68
2018-02-08,2.0,-0.2,0.6,0.00,0.35
2018-02-09,4.9,-3.8,0.3,0.00,0.00
2018-02-10,1.3,-1.9,-0.1,0.10,1.12
2018-02-11,6.7,-3.9,1.5,0.00,4.41
2018-02-12,3.0,-2.8,-0.2,0.00,13.44
2018-02-13,1.4,-8.3,-3.1,0.00,0.35
2018-02-14,1.7,-7.6,-3.9,0.00,0.00
2018-02-15,6.3,-6.5,1.2,5.50,8.33
2018-02-16,8.4,4.4,6.8,5.80,8.47
2018-02-17,9.5,2.8,6.3,0.00,5.95
2018-02-18,4.1,1.5,2.3,0.00,3.22
2018-02-19,4.5,-0.7,1.8,0.00,0.35
2018-02-20,1.9,-1.1,0.7,0.00,3.85
2018-02-21,0.2,-2.9,-1.2,0.00,2.17
2018-02-22,0.4,-2.6,-1.4,0.00,0.77
2018-02-23,2.7,-3.9,-0.3,0.00,0.00
2018-02-24,9.2,0.3,2.8,0.00,0.77
2018-02-25,1.4,-6.9,-2.7,0.00,0.56
2018-02-26,-6.2,-11.4,-8.3,0.00,1.96
2018-02-27,-8.8,-12.4,-10.4,0.00,0.07
2018-02-28,-3.5,-12.9,-8.2,0.00,0.00
2018-03-01,2.5,-5.2,-1.8,0.00,2.80
2018-03-02,7.0,-0.8,2.8,0.00,1.89
2018-03-03,9.4,-2.9,2.8,0.00,0.98
2018-03-04,8.8,-0.9,3.8,0.00,0.00
2018-03-05,9.6,1.1,5.0,0.00,0.07
2018-03-06,7.8,1.5,4.7,0.00,1.40
2018-03-07,5.9,2.5,4.3,0.00,6.23
2018-03-08,9.4,-2.7,3.6,0.00,0.56
2018-03-09,9.6,0.5,4.8,0.00,0.00
2018-03-10,10.5,5.4,7.8,0.20,0.42
