latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.22144,7.1770334,488.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,6.2,2.5,4.0,0.20,10.01
2018-01-02,4.4,0.7,2.9,0.00,5.46
2018-01-03,8.6,3.5,5.6,12.20,12.25
2018-01-04,8.3,2.3,5.9,24.80,19.95
2018-01-05,8.9,4.1,6.6,8.50,4.48
2018-01-06,7.9,3.2,5.1,0.00,0.00
2018-01-07,7.3,2.7,4.7,0.10,0.00
2018-01-08,8.2,2.4,4.9,8.90,0.28
2018-01-09,6.4,1.5,4.2,3.60,8.47
2018-01-10,6.6,0.7,2.8,0.00,0.14
2018-01-11,6.1,1.2,3.5,0.10,1.19
2018-01-12,5.6,-0.4,3.4,0.00,0.14
2018-01-13,5.4,-3.7,-0.4,0.00,0.00
2018-01-14,3.4,-3.2,-0.2,0.00,0.00
2018-01-15,2.3,-3.9,-1.0,0.00,0.91
2018-01-16,5.8,0.9,3.3,0.00,11.97
2018-01-17,5.0,-2.4,1.3,0.10,11.34
2018-01-18,4.7,-2.2,1.6,0.40,10.92
2018-01-19,4.5,0.6,3.1,0.90,10.43
2018-01-20,4.5,-2.6,1.1,0.00,9.45
2018-01-21,4.6,2.7,3.5,0.40,22.33
2018-01-22,8.4,4.8,6.6,29.00,8.33
2018-01-23,10.9,3.6,6.7,2.80,0.07
2018-01-24,9.1,2.8,5.1,0.00,0.00
2018-01-25,7.3,1.5,3.6,0.00,0.00
2018-01-26,7.3,1.4,3.9,0.00,0.49
2018-01-27,9.1,0.5,4.1,0.00,0.00
2018-01-28,9.8,2.2,5.5,0.00,0.00
2018-01-29,10.5,1.8,5.3,0.00,0.00
2018-01-30,9.1,1.0,4.5,0.00,0.00
2018-01-31,7.8,-0.7,2.9,0.00,0.00
2018-02-01,4.5,-1.1,2.5,0.00,11.83
2018-02-02,3.4,-4.3,0.5,0.00,0.91
2018-02-03,1.7,-5.4,-2.1,0.00,0.84
2018-02-04,2.3,-4.2,-1.7,0.00,0.28
2018-02-05,2.6,-5.3,-1.8,0.00,0.35
2018-02-06,4.0,-4.0,-1.0,0.00,0.00
2018-02-07,3.3,-3.2,-0.3,0.00,0.77
2018-02-08,2.8,-0.6,0.8,0.00,0.14
2018-02-09,4.0,-4.9,-0.8,0.00,0.00
2018-02-10,2.4,-2.7,0.1,0.00,2.66
2018-02-11,5.6,-1.6,2.0,0.00,2.73
2018-02-12,2.6,-2.3,-0.0,0.00,3.64
2018-02-13,1.5,-4.8,-2.4,0.00,0.70
2018-02-14,2.2,-5.4,-2.2,0.00,0.00
2018-02-15,6.9,-2.3,2.8,8.50,7.28
2018-02-16,11.0,5.8,7.9,7.40,1.40
2018-02-17,8.0,3.6,5.6,1.70,6.72
2018-02-18,5.7,2.0,4.0,0.00,2.59
2018-02-19,6.9,0.8,3.6,0.00,0.00
2018-02-20,5.0,1.8,3.0,0.00,0.91
2018-02-21,5.0,-4.0,0.7,0.00,0.42
2018-02-22,3.3,-6.2,-1.9,0.00,0.00
2018-02-23,5.1,-5.4,-1.3,0.00,0.00
2018-02-24,8.4,-3.9,1.5,0.00,0.21
2018-02-25,3.9,-4.8,0.7,0.00,0.56
2018-02-26,-2.6,-11.1,-6.4,0.00,0.00
2018-02-27,-5.8,-11.8,-9.1,0.00,0.00
2018-02-28,-1.8,-13.6,-8.1,0.00,0.56
2018-03-01,-1.2,-7.3,-4.6,0.00,4.83
2018-03-02,4.7,-5.4,-1.5,0.10,2.66
2018-03-03,4.8,-5.4,-0.2,0.00,2.03
2018-03-04,7.7,-2.6,2.2,0.00,0.07
2018-03-05,8.2,-0.9,3.1,0.00,0.07
2018-03-06,7.8,0.5,4.0,0.20,2.66
2018-03-07,7.1,1.4,3.7,0.10,2.59
2018-03-08,10.9,-0.9,3.8,0.10,0.84
2018-03-09,9.6,0.7,5.1,0.00,0.00
2018-03-10,8.8,3.3,5.7,0.40,0.84
2018-03-11,8.5,2.9,5.5,3.10,0.21
2018-03-12,10.5,2.1,5.8,1.80,4.27
2018-03-13,7.9,2.0,5.2,0.00,6.44
2018-03-14,12.2,4.2,7.0,0.00,0.21
2018-03-15,9.3,2.5,5.2,0.30,5.04
2018-03-16,11.5,0.9,5.6,0.30,0.35
2018-03-17,6.3,3.0,4.7,0.00,5.25
2018-03-18,7.1,3.5,4.8,0.00,0.91
2018-03-19,5.6,2.4,3.9,0.00,2.31
2018-03-20,5.1,-0.6,2.8,0.00,0.70
2018-03-21,3.8,-4.4,0.2,0.00,0.00
2018-03-22,6.3,-5.4,0.1,0.00,0.21
2018-03-23,7.8,0.5,3.7,0.00,1.54
2018-03-24,10.4,0.0,5.1,0.00,0.00
2018-03-25,10.2,0.5,5.4,0.60,0.21
2018-03-26,9.6,5.0,6.3,0.60,3.43
2018-03-27,8.7,2.7,5.6,0.20,4.13
2018-03-28,12.0,4.6,7.9,7.80,0.98
2018-03-29,8.2,2.1,5.7,3.40,5.88
2018-03-30,12.8,0.9,5.4,1.20,2.10
2018-03-31,8.0,1.6,4.8,0.00,1.82
2018-04-01,6.8,1.8,4.4,0.10,3.57
2018-04-02,12.2,0.9,6.4,0.00,0.00
2018-04-03,15.1,3.1,7.5,0.20,0.00
2018-04-04,13.4,3.2,6.9,4.60,1.54
2018-04-05,10.8,2.3,6.4,0.20,0.21
