latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.502636,6.7897267,461.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,7.4,3.1,5.4,11.00,0.42
2018-01-02,5.8,3.3,4.5,4.60,0.42
2018-01-03,11.1,4.6,7.0,11.60,0.70
2018-01-04,10.8,3.3,7.5,41.80,1.19
2018-01-05,9.4,5.6,8.2,15.30,0.00
2018-01-06,10.7,3.5,7.0,8.20,0.00
2018-01-07,10.0,2.9,5.7,0.00,0.00
2018-01-08,10.0,2.3,5.8,0.00,0.00
2018-01-09,6.5,3.0,4.7,5.10,0.00
2018-01-10,6.1,1.7,4.2,0.50,0.00
2018-01-11,6.9,1.5,4.4,3.10,0.07
2018-01-12,7.2,2.6,4.5,0.00,0.00
2018-01-13,6.2,0.8,3.5,0.00,0.00
2018-01-14,4.7,-0.2,2.7,0.00,0.00
2018-01-15,5.6,0.4,3.1,2.70,0.21
2018-01-16,7.6,2.2,6.0,12.60,0.00
2018-01-17,5.9,0.8,3.2,4.60,2.24
2018-01-18,6.1,1.7,4.1,11.70,3.92
2018-01-19,7.8,2.9,5.0,11.10,1.61
2018-01-20,5.6,1.8,2.9,7.10,7.07
2018-01-21,7.4,3.5,5.1,25.60,0.98
2018-01-22,9.1,4.6,7.4,36.20,0.00
2018-01-23,7.6,3.5,6.0,1.40,0.00
2018-01-24,8.3,2.4,5.3,0.00,0.00
2018-01-25,8.3,1.5,5.0,0.00,0.00
2018-01-26,7.1,2.7,4.9,5.20,0.28
2018-01-27,6.9,2.7,4.6,1.40,0.00
2018-01-28,8.6,3.7,5.6,0.00,0.00
2018-01-29,8.8,3.6,5.7,0.00,0.00
2018-01-30,8.7,3.9,5.9,0.00,0.00
2018-01-31,6.1,3.0,4.7,0.10,0.63
2018-02-01,6.3,-0.4,3.2,11.30,2.94
2018-02-02,3.9,-0.4,1.6,0.00,0.00
2018-02-03,2.9,-1.1,0.9,0.00,0.14
2018-02-04,3.8,-0.7,1.5,0.00,0.07
2018-02-05,4.2,0.9,2.1,0.10,2.17
2018-02-06,6.1,-0.4,2.4,0.00,0.00
