latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.34622,8.543372,442.0,7200,Europe/Zurich,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-01-01,8.0,4.4,6.1,4.20,0.00
2018-01-02,6.0,2.6,4.1,2.30,0.14
2018-01-03,12.8,2.2,6.5,13.20,1.82
2018-01-04,11.4,3.6,7.4,22.10,0.00
2018-01-05,11.3,7.1,9.3,8.40,0.00
2018-01-06,8.1,2.2,5.8,2.10,0.00
2018-01-07,7.4,1.9,3.9,0.00,0.00
2018-01-08,8.3,0.5,3.1,0.00,0.00
2018-01-09,6.8,0.2,3.6,0.80,0.00
2018-01-10,6.2,-0.6,2.9,0.10,0.00
2018-01-11,6.7,-0.1,3.5,1.10,0.00
2018-01-12,4.4,1.2,3.2,0.50,0.00
2018-01-13,3.4,-2.5,0.8,0.00,0.00
2018-01-14,1.5,-3.2,-1.3,0.00,0.00
2018-01-15,4.1,-2.7,0.3,0.20,0.35
2018-01-16,8.4,2.0,5.5,13.00,2.73
2018-01-17,5.2,0.9,2.3,9.30,3.57
2018-01-18,8.0,1.3,5.1,3.20,0.35
2018-01-19,7.7,1.8,4.4,12.70,0.21
2018-01-20,5.9,0.9,3.0,4.20,2.24
2018-01-21,6.3,1.4,3.5,8.20,0.98
2018-01-22,8.9,1.4,6.8,27.10,0.21
2018-01-23,7.6,0.6,5.4,0.70,0.00
2018-01-24,10.9,0.6,5.1,0.00,0.00
2018-01-25,9.9,-0.6,4.0,0.00,0.00
2018-01-26,8.5,1.0,4.8,0.00,0.00
2018-01-27,6.6,4.4,5.4,0.90,0.00
2018-01-28,8.5,0.8,4.8,0.00,0.00
2018-01-29,9.7,2.9,6.2,0.00,0.00
2018-01-30,8.5,4.1,6.6,0.00,0.00
2018-01-31,9.4,1.8,5.1,1.50,0.21
2018-02-01,6.2,-0.3,2.8,13.30,1.19
2018-02-02,4.7,-2.2,1.2,0.00,0.14
2018-02-03,3.2,-2.1,0.7,0.00,0.91
2018-02-04,3.4,-1.5,1.0,0.00,0.21
2018-02-05,3.4,-2.8,-0.3,0.00,0.00
2018-02-06,3.8,-4.0,-1.1,0.00,0.00
2018-02-07,2.5,-2.7,-0.1,0.00,1.82
2018-02-08,2.8,-2.8,0.4,0.00,1.68
2018-02-09,3.1,-2.8,-0.0,0.00,0.00
2018-02-10,2.7,-3.2,-0.0,0.00,0.42
2018-02-11,3.7,-0.6,1.3,3.60,0.98
2018-02-12,2.8,-2.9,0.5,0.50,3.22
2018-02-13,2.7,-4.9,-1.7,0.00,0.07
2018-02-14,2.2,-5.0,-2.3,0.00,0.00
2018-02-15,3.4,-4.5,0.1,7.40,1.54
2018-02-16,6.3,1.2,3.9,14.70,0.00
2018-02-17,3.8,0.7,2.0,6.50,1.82
2018-02-18,2.5,-1.3,0.6,0.00,2.03
2018-02-19,2.3,-3.8,-0.7,0.00,0.00
2018-02-20,1.9,-1.7,-0.2,0.00,0.28
2018-02-21,1.0,-3.1,-0.9,0.00,0.07
2018-02-22,0.2,-3.0,-1.6,0.00,0.00
2018-02-23,-0.3,-2.5,-1.7,0.00,0.00
2018-02-24,2.3,-2.8,-1.1,0.00,0.00
2018-02-25,-2.7,-7.3,-4.8,0.00,0.00
2018-02-26,-6.1,-9.8,-8.0,0.00,0.00
2018-02-27,-5.7,-10.3,-8.2,0.00,0.07
2018-02-28,-1.3,-10.6,-6.5,0.00,0.00
2018-03-01,0.7,-7.0,-4.4,0.00,0.77
2018-03-02,1.8,-7.4,-3.2,0.00,2.17
2018-03-03,5.3,-4.4,-0.5,1.60,0.28
2018-03-04,10.3,-1.3,3.7,0.50,0.00
2018-03-05,11.9,0.8,5.4,0.30,0.00
2018-03-06,9.0,-2.0,4.0,0.30,0.00
2018-03-07,8.2,0.1,4.4,1.70,0.00
2018-03-08,10.7,-1.0,5.0,0.30,0.00
2018-03-09,11.9,2.5,6.8,0.50,0.00
2018-03-10,10.7,3.8,6.9,0.50,0.00
2018-03-11,12.4,0.6,6.1,1.60,0.00
2018-03-12,11.7,4.5,7.5,7.10,0.00
2018-03-13,9.0,4.5,6.3,1.60,0.14
2018-03-14,11.7,2.1,6.3,1.00,0.00
2018-03-15,13.8,-0.8,5.3,0.00,0.00
2018-03-16,11.2,0.2,6.0,0.90,0.00
2018-03-17,7.6,1.1,3.9,7.30,0.84
2018-03-18,3.8,-1.6,0.8,0.20,0.56
2018-03-19,3.7,-1.8,0.2,0.00,0.63
2018-03-20,2.1,-3.7,-0.5,0.10,0.14
2018-03-21,3.8,-3.3,-0.0,0.00,0.98
2018-03-22,6.1,-5.3,-0.3,0.00,0.28
2018-03-23,7.6,0.3,3.4,0.10,1.26
2018-03-24,10.3,-3.1,3.6,0.00,0.00
2018-03-25,13.0,-0.9,5.9,0.20,0.00
2018-03-26,10.2,3.4,6.0,2.10,0.00
2018-03-27,10.0,2.7,6.1,5.20,0.00
2018-03-28,11.8,5.7,8.6,12.00,0.00
2018-03-29,8.3,4.1,5.9,5.70,0.00
